name	is_dir	size	date
001__ACC.MAP__bw.pdf	False	2.0 MiB	06-Dec-2021 21:54
001__ACC.MAP__gray.pdf	False	10.2 MiB	06-Dec-2021 21:54
002__ACCDEF.REQ__bw.pdf	False	1.7 MiB	06-Dec-2021 21:54
002__ACCDEF.REQ__gray.pdf	False	7.7 MiB	06-Dec-2021 21:54
003__ACC.LIS__bw.pdf	False	6.2 MiB	06-Dec-2021 21:54
003__ACC.LIS__gray.pdf	False	56.1 MiB	06-Dec-2021 21:55
004__ACCMSG.LIS__bw.pdf	False	1.4 MiB	06-Dec-2021 21:55
004__ACCMSG.LIS__gray.pdf	False	2.8 MiB	06-Dec-2021 21:55
005__FILES.LIS__bw.pdf	False	1.9 MiB	06-Dec-2021 21:55
005__FILES.LIS__gray.pdf	False	8.6 MiB	06-Dec-2021 21:55
006__FORMAT.LIS__bw.pdf	False	4.7 MiB	06-Dec-2021 21:55
006__FORMAT.LIS__gray.pdf	False	26.7 MiB	06-Dec-2021 21:55
007__SUMMARY.LIS__bw.pdf	False	2.6 MiB	06-Dec-2021 21:55
007__SUMMARY.LIS__gray.pdf	False	18.5 MiB	06-Dec-2021 21:55
008__SYMBOLMSG.LIS__bw.pdf	False	1.4 MiB	06-Dec-2021 21:55
008__SYMBOLMSG.LIS__gray.pdf	False	3.5 MiB	06-Dec-2021 21:55
009__SYMBOLS.LIS__bw.pdf	False	2.5 MiB	06-Dec-2021 21:55
009__SYMBOLS.LIS__gray.pdf	False	19.9 MiB	06-Dec-2021 21:55
010__UTILITY.LIS__bw.pdf	False	2.6 MiB	06-Dec-2021 21:55
010__UTILITY.LIS__gray.pdf	False	20.6 MiB	06-Dec-2021 21:56
