name	is_dir	size	date
001__EXCHANGE.MAP__bw.pdf	False	2.4 MiB	07-Dec-2021 00:29
001__EXCHANGE.MAP__gray.pdf	False	12.9 MiB	07-Dec-2021 00:29
002__EXCDEFS.SDL__bw.pdf	False	2.6 MiB	07-Dec-2021 00:29
002__EXCDEFS.SDL__gray.pdf	False	18.6 MiB	07-Dec-2021 00:29
003__EXCLIB.B32__bw.pdf	False	1.9 MiB	07-Dec-2021 00:29
003__EXCLIB.B32__gray.pdf	False	11.1 MiB	07-Dec-2021 00:30
004__EXCREQ.R32__bw.pdf	False	1.4 MiB	07-Dec-2021 00:30
004__EXCREQ.R32__gray.pdf	False	3.0 MiB	07-Dec-2021 00:30
005__EXCCLDTBL.LIS__bw.pdf	False	1.5 MiB	07-Dec-2021 00:30
005__EXCCLDTBL.LIS__gray.pdf	False	4.9 MiB	07-Dec-2021 00:30
006__EXCCMD.LIS__bw.pdf	False	4.3 MiB	07-Dec-2021 00:30
006__EXCCMD.LIS__gray.pdf	False	35.2 MiB	07-Dec-2021 00:30
007__EXCCOPY.LIS__bw.pdf	False	5.1 MiB	07-Dec-2021 00:30
007__EXCCOPY.LIS__gray.pdf	False	36.0 MiB	07-Dec-2021 00:30
008__EXCDBG.LIS__bw.pdf	False	3.3 MiB	07-Dec-2021 00:30
008__EXCDBG.LIS__gray.pdf	False	24.2 MiB	07-Dec-2021 00:30
009__EXCDEFS.LIS__bw.pdf	False	2.8 MiB	07-Dec-2021 00:30
009__EXCDEFS.LIS__gray.pdf	False	18.3 MiB	07-Dec-2021 00:30
010__EXCDIRE.LIS__bw.pdf	False	3.8 MiB	07-Dec-2021 00:30
010__EXCDIRE.LIS__gray.pdf	False	30.7 MiB	07-Dec-2021 00:31
011__EXCDOS11.LIS__bw.pdf	False	5.8 MiB	07-Dec-2021 00:31
011__EXCDOS11.LIS__gray.pdf	False	42.2 MiB	07-Dec-2021 00:31
012__EXCFIL11.LIS__bw.pdf	False	2.5 MiB	07-Dec-2021 00:31
012__EXCFIL11.LIS__gray.pdf	False	15.2 MiB	07-Dec-2021 00:31
013__EXCINIT.LIS__bw.pdf	False	3.2 MiB	07-Dec-2021 00:31
013__EXCINIT.LIS__gray.pdf	False	24.5 MiB	07-Dec-2021 00:31
014__EXCIO.LIS__bw.pdf	False	4.3 MiB	07-Dec-2021 00:31
014__EXCIO.LIS__gray.pdf	False	38.2 MiB	07-Dec-2021 00:31
015__EXCLIB.LIS__bw.pdf	False	3.6 MiB	07-Dec-2021 00:31
015__EXCLIB.LIS__gray.pdf	False	15.0 MiB	07-Dec-2021 00:32
016__EXCMAIN.LIS__bw.pdf	False	2.7 MiB	07-Dec-2021 00:32
016__EXCMAIN.LIS__gray.pdf	False	17.5 MiB	07-Dec-2021 00:32
017__EXCMOUN.LIS__bw.pdf	False	3.5 MiB	07-Dec-2021 00:32
017__EXCMOUN.LIS__gray.pdf	False	25.2 MiB	07-Dec-2021 00:32
018__EXCMSG.LIS__bw.pdf	False	1.7 MiB	07-Dec-2021 00:32
018__EXCMSG.LIS__gray.pdf	False	4.5 MiB	07-Dec-2021 00:32
019__EXCPDP.LIS__bw.pdf	False	4.2 MiB	07-Dec-2021 00:32
019__EXCPDP.LIS__gray.pdf	False	34.2 MiB	07-Dec-2021 00:33
020__EXCRT11.LIS__bw.pdf	False	6.3 MiB	07-Dec-2021 00:33
020__EXCRT11.LIS__gray.pdf	False	46.7 MiB	07-Dec-2021 00:33
021__EXCRTACP.LIS__bw.pdf	False	3.5 MiB	07-Dec-2021 00:33
021__EXCRTACP.LIS__gray.pdf	False	27.4 MiB	07-Dec-2021 00:33
022__EXCRTNAM.LIS__bw.pdf	False	3.2 MiB	07-Dec-2021 00:33
022__EXCRTNAM.LIS__gray.pdf	False	23.6 MiB	07-Dec-2021 00:33
023__EXCSHOW.LIS__bw.pdf	False	1.7 MiB	07-Dec-2021 00:33
023__EXCSHOW.LIS__gray.pdf	False	6.4 MiB	07-Dec-2021 00:33
024__EXCUTIL.LIS__bw.pdf	False	3.3 MiB	07-Dec-2021 00:33
024__EXCUTIL.LIS__gray.pdf	False	28.5 MiB	07-Dec-2021 00:34
