name	is_dir	size	date
3270	True	-	11-Jun-2025 16:19
5250	True	-	15-May-2024 22:35
IBM_PC_Information_Exchange	True	-	11-Sep-2025 18:46
IBM_Personal_Computer_Seminar_Proceedings	True	-	10-Aug-2025 16:29
apps	True	-	28-Jan-2014 03:26
at	True	-	14-Jul-2014 01:52
brochures	True	-	14-Jan-2017 00:25
cards	True	-	23-Aug-2024 15:12
convertable	True	-	24-May-2013 21:31
cpm-86	True	-	25-May-2013 17:32
dos	True	-	13-Feb-2024 23:26
graphics	True	-	05-Jul-2021 18:16
industrial_computer	True	-	26-Oct-2023 03:48
jx	True	-	04-Apr-2021 01:22
lan	True	-	10-Aug-2025 17:51
languages	True	-	10-May-2022 12:24
library	True	-	08-Apr-2022 18:31
os2	True	-	25-Sep-2025 20:12
p-system	True	-	06-Aug-2019 19:39
pc	True	-	14-Jul-2014 02:33
pc_jr	True	-	25-May-2013 19:08
pc_network	True	-	15-May-2024 15:06
ps2	True	-	13-Sep-2025 02:29
rt	True	-	08-Jun-2025 22:01
thinkpad	True	-	16-Dec-2023 23:04
vm_pc	True	-	01-Sep-2022 17:35
xenix	True	-	11-Aug-2021 13:00
xt	True	-	25-May-2013 02:56
6024448_IBM_Technical_Directory_Jan88.pdf	False	475.6 KiB	01-May-2015 20:24
GG24-3057-00_IBM_PC_Internals_Fundamentals_Course_Notes_198603.pdf	False	14.5 MiB	26-Mar-2023 21:39
IBM_Personal_System_2_and_IBM_Personal_Computer_Product_Reference_Ver_4.0_Sep88.pdf	False	14.0 MiB	10-Jan-2014 01:46
IBM_Personal_System_2_and_IBM_Personal_Computer_Publication_Reference_Jan89.pdf	False	3.1 MiB	10-Jan-2014 01:46
IBM_Technical_Directory_IBM_PC_and_PS2_Jun88.pdf	False	1.2 MiB	18-Feb-2011 16:19
IBM_Technical_Directory_Tenth_Edition_Jun92.pdf	False	1.6 MiB	29-Jul-2015 00:49
PS2_and_IBM_PC_Product_Reference_Version_4.0_Apr87.pdf	False	14.6 MiB	25-May-2013 02:59
SA38-0037-00_Personal_Computer_Family_Service_Information_Manual_Jul89.pdf	False	18.3 MiB	25-May-2013 04:26
