name	is_dir	size	date
R-090-1_Binary_System_of_Numbers_Feb1952.pdf	False	460.2 KiB	03-Jan-2020 15:47
R-127-1_Whirlwind_I_Computer_Block_Diagrams_Volume_1_May52.pdf	False	5.6 MiB	24-Jun-2010 17:11
R-127_Whirlwind_I_Computer_Block_Diagrams_Volume_1_Sep47.pdf	False	7.6 MiB	24-Jun-2010 15:16
R-127_Whirlwind_I_Computer_Block_Diagrams_Volume_2_Sep47.pdf	False	2.7 MiB	24-Jun-2010 15:13
R-166_Digital_Computers_as_Information-Processing_Systems_Sep51.pdf	False	1.5 MiB	27-Jun-2010 17:25
R-177_A_Method_of_Test_Checking_an_Electronic_Digital_Computer_Mar1950.pdf	False	60.2 MiB	22-Dec-2019 21:17
R-181_Digital_Computers_in_Control_Systems_Apr50.pdf	False	558.5 KiB	29-Jun-2010 22:02
R-182_New_Development_in_Pulsed_Circuit_Test_Equipment_Apr50.pdf	False	1.0 MiB	29-Jun-2010 22:02
R-183_MIT_Electrostatic_Storage_Tube_Apr50.pdf	False	1.2 MiB	29-Jun-2010 22:02
R-184_Computer_Experience_in_Extending_Tube_Life_Apr50.pdf	False	683.1 KiB	29-Jun-2010 22:03
R-185_Marginal_Checking_Preventive_Maintenance_for_Electronic_Equipment_Apr50.pdf	False	728.0 KiB	29-Jun-2010 22:03
R-196_Programming_for_Whirlwind_I_Jun51.pdf	False	2.4 MiB	29-Jun-2010 22:03
R-203_The_Application_of_a_High-Speed_Digital_Computer_to_the_Present-Day_Air_Traffic_Control_System_Jan52.pdf	False	14.5 MiB	29-Jun-2010 02:26
R-206_Charles_Babbage_Scientist_and_Philosopher_Jan52.pdf	False	2.1 MiB	12-Jul-2010 22:29
R-210_Computer_Program_Synthesis_Based_on_Statistical_Communication_Theory_Sep52.pdf	False	3.1 MiB	28-Jun-2010 18:20
R-211_A_Magnetic_Matrix_Switch_and_its_Incorporation_Into_a_Coincident-Current_Memory_Jun1952.pdf	False	8.7 MiB	22-Dec-2019 21:16
R-217_Design_of_Low-Power_Pulse_Transformers_Using_Ferrite_Cores_Nov52.pdf	False	3.7 MiB	30-Jun-2010 04:16
R-219_Electronic_Selection_and_Control_of_Read-Record_Heads_of_Magnetic-Tape_Units_Dec52.pdf	False	2.3 MiB	28-Jun-2010 17:17
R-220_Analysis_and_Design_of_a_Digital-to-Analog_Decoder_Dec52.pdf	False	8.5 MiB	29-Jun-2010 16:43
R-221_Whirlwind_I_Operational_Logic_May54.pdf	False	9.8 MiB	22-Dec-2019 21:16
R-224_Rudiments_of_Good_Circuit_Design_May53.pdf	False	659.6 KiB	26-Jun-2010 17:54
R-225_Summary_of_Treatment_of_Digital_Control_Systems_and_Numerical_Processes_in_the_Frequency_Domain_Jul53.pdf	False	4.1 MiB	29-Jun-2010 16:43
R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf	False	4.3 MiB	26-Jun-2010 17:54
R-233_The_MIT_Systems_of_Automatic_Coding_May54.pdf	False	1.9 MiB	24-Jun-2010 18:33
R-234_Switch_for_Register_Selection_in_a_Magnetic_Core_Memory_May54.pdf	False	4.7 MiB	29-Jun-2010 00:00
