name	is_dir	size	date
68_News_#10_Sep90.pdf	False	2.4 MiB	21-Sep-2014 02:12
68_News_#11_Nov90.pdf	False	2.3 MiB	21-Sep-2014 02:12
68_News_#9_Apr90.pdf	False	1.7 MiB	21-Sep-2014 02:12
68xxx_Machines_V1N1_Feb91.pdf	False	1.6 MiB	21-Sep-2014 02:12
68xxx_Machines_V1N2_Mar91.pdf	False	1.4 MiB	21-Sep-2014 02:12
68xxx_Machines_V1N3_Apr81.pdf	False	1.5 MiB	21-Sep-2014 02:12
68xxx_Machines_V1N4_May91.pdf	False	2.2 MiB	21-Sep-2014 02:12
68xxx_Machines_V1N5_Jun91.pdf	False	1.6 MiB	21-Sep-2014 02:13
68xxx_Machines_V1N6_Jul91.pdf	False	2.9 MiB	21-Sep-2014 02:13
68xxx_News_#6_Nov88.pdf	False	1.1 MiB	21-Sep-2014 02:13
