name	is_dir	size	date
firmware	True	-	03-Feb-2022 20:17
DR-504S_Users_Manual.pdf	False	742.2 KiB	28-Jan-2022 15:03
DR-544_504S_566_506_32X_Spec.pdf	False	393.3 KiB	29-Jan-2022 18:56
DR-566-506S_32X_SCSI2_Spec.pdf	False	12.7 KiB	29-Jan-2022 18:51
DR-744_Users_Manual.pdf	False	531.8 KiB	28-Jan-2022 15:03
DR-944_914_40X_ATAPI_UM.pdf	False	42.2 KiB	29-Jan-2022 18:51
DR-966_40X_SCSI_UM.pdf	False	53.8 KiB	29-Jan-2022 18:54
DR-A14S_36X_ATAPI_UM.pdf	False	373.6 KiB	29-Jan-2022 18:53
DR-A24X_Specs.pdf	False	190.5 KiB	28-Jan-2022 15:03
DVD-CD_Non-Repairables.pdf	False	32.7 KiB	29-Jan-2022 19:00
OB-U0077C_CD-ROM_SCSI-2_Command_Set_V3.1_19970626.pdf	False	487.6 KiB	17-Apr-2021 20:36
RRV1140_DR-U104X_Service_199406.pdf	False	45.8 MiB	28-Jan-2022 06:35
RRV1199_DR-R504X_CD-ROM_Writer_Service_199501.pdf	False	68.2 MiB	29-Jan-2022 06:46
RRV1273_DR-UA124X-2_-3_-5_Service_199503.pdf	False	51.0 MiB	28-Jan-2022 06:43
RRV1274_DR-U124X-1_-4_-PA_Service_199504.pdf	False	19.7 MiB	28-Jan-2022 06:48
RRV1355_DR-U124X-7_DR-US124X-6_Service_199505.pdf	False	19.7 MiB	28-Jan-2022 06:53
RRV1431_DR-2111_DR-UP124X-5_Service_199512.pdf	False	48.6 MiB	29-Jan-2022 06:47
SCSI_Optical_Drive_Summary.pdf	False	57.1 KiB	29-Jan-2022 18:59
