name	is_dir	size	date
mcjones	True	-	22-Sep-2009 19:01
20.70.20_DrumRefMan.pdf	False	347.8 KiB	22-Sep-2009 18:58
20.70.30_DrumLogicDescr.pdf	False	893.2 KiB	22-Sep-2009 18:58
30.40.30_DDT_BinInputFmt.pdf	False	483.6 KiB	22-Sep-2009 18:58
30.50.40_930_LISP_Reference_Feb66.pdf	False	894.6 KiB	03-Dec-2012 20:00
30.60.30_QED_Nov65.pdf	False	512.2 KiB	03-Dec-2012 19:37
40.20.10_User_Machine_In_A_Timesharing_Sys_Oct66.pdf	False	1.9 MiB	22-Sep-2009 18:59
940_LISP_Memo_1_Mar67.pdf	False	621.6 KiB	03-Dec-2012 20:01
940_LISP_Memo_2_Apr67.pdf	False	158.9 KiB	03-Dec-2012 20:01
GENIE_Progress_Report_19680816.pdf	False	2.3 MiB	11-Mar-2024 06:13
GenieRefCover.jpg	False	66.7 KiB	24-Mar-2003 01:13
Genie_Story_1965.tif	False	1.0 MiB	10-Mar-2024 06:07
R-21_GenieMoniGuide_8Mar67.pdf	False	3.9 MiB	22-Sep-2009 18:59
R-21_Time-Sharing_System_Reference_Oct68.pdf	False	4.1 MiB	04-Dec-2012 15:15
R-22_Executive_Reference_Manual_Rev_1.9_Nov68.pdf	False	1023.6 KiB	04-Dec-2012 17:45
R-22_Reference_Manual_For_The_Time-Sharing_Executive_Ver_1.9_Feb67.pdf	False	1.2 MiB	03-Dec-2012 19:09
R-23_CAL_Aug67.pdf	False	1.2 MiB	04-Dec-2012 17:45
R-26_ARPAS_Feb67.pdf	False	3.9 MiB	04-Dec-2012 17:46
R-29_CCP_Conditional_Command_Processor_Jul67.pdf	False	659.7 KiB	06-May-2011 01:10
R-29_Conditional_Command_Processor_Jul67.pdf	False	707.4 KiB	04-Dec-2012 17:46
R-32_NARP_Nov68.pdf	False	3.0 MiB	04-Dec-2012 17:46
R-34_SDS940_SNOBOL4.pdf	False	2.0 MiB	22-Sep-2009 18:59
R-39_DDT_Reference_Manual_Jun69.pdf	False	1.2 MiB	03-Dec-2012 19:35
W-21_LISP_Editor_Apr67.pdf	False	391.9 KiB	22-Jan-2026 20:48
