name	is_dir	size	date
16-bit	True	-	25-Oct-2007 18:16
5xx	True	-	22-Sep-2009 19:05
btm	True	-	22-Sep-2009 20:38
cp-r	True	-	22-Sep-2009 20:40
cp-v	True	-	17-Feb-2025 11:32
diag	True	-	22-Sep-2009 20:53
lang	True	-	17-Feb-2025 11:31
memos	True	-	22-Sep-2009 21:37
periph	True	-	21-Jun-2022 21:52
pictures	True	-	05-Apr-2007 22:02
rbm	True	-	22-Sep-2009 21:12
sigma5	True	-	24-Sep-2009 19:02
sigma6	True	-	11-Oct-2007 00:52
sigma7	True	-	22-Sep-2009 21:21
sigma8	True	-	05-Apr-2007 23:18
sigma9	True	-	17-Feb-2025 11:33
tsd	True	-	22-Sep-2009 21:27
util	True	-	22-Sep-2009 21:28
uts	True	-	17-Feb-2025 11:32
xos	True	-	17-Feb-2025 11:54
Sigima_Site_Documentation_Dictionary_May72.pdf	False	1.7 MiB	22-Sep-2009 19:03
Sigma_6_9_Sales_Guide_Feb72.pdf	False	2.3 MiB	22-Sep-2009 19:03
Sigma_Product_Dictionary_Aug67.pdf	False	959.7 KiB	22-Sep-2009 19:03
Sigma_Product_Dictionary_Jan68.pdf	False	1012.7 KiB	22-Sep-2009 19:03
Sigma_System_FE_Basics_Jun68.pdf	False	10.1 MiB	22-Sep-2009 19:04
sigmaCPUs.txt	False	3.9 KiB	25-Aug-2004 23:37
sigmaModelNumbers.txt	False	3.7 KiB	03-Apr-2007 22:41
sigmaSiteDocDict_May72.pdf	False	1.7 MiB	24-Sep-2009 16:10
