name	is_dir	size	date
Floating_Point_Lograms_Nov63.pdf	False	3.2 MiB	24-Feb-2009 00:32
Hill_Stored_Logic_Revisted_Dec61.pdf	False	1.2 MiB	22-Feb-2009 02:45
M250-2U15_Computer_Simulation_Applications_Study_May62.pdf	False	524.4 KiB	22-Feb-2009 03:18
M250-2U18_TRW-130_Software_Catalog_Apr63.pdf	False	4.2 MiB	22-Feb-2009 03:29
M250-2U19_AN_UYK-1_RefMan_Feb63.pdf	False	6.8 MiB	04-Sep-2006 21:17
M250-2U20_TRW-130_Paper_Tape_Assembler_Jul62.pdf	False	5.0 MiB	22-Feb-2009 15:12
M250-2U21_TRW-130_Basic_Logram_Package.pdf	False	12.9 MiB	24-Feb-2009 01:49
M250-2U24_TRW-130_Diagnostics.pdf	False	20.7 MiB	23-Feb-2009 03:11
M250-2U38_TRW-130_Assembler_Flow_Charts_Oct62.pdf	False	1.6 MiB	23-Feb-2009 03:27
M250-2U39_Magnetic_Tape_System_Oct62.pdf	False	4.1 MiB	22-Feb-2009 03:06
TRW-130_Peripheral_Descriptions_1962.pdf	False	2.6 MiB	22-Feb-2009 15:32
TRW-130_Sales_Application_Record.pdf	False	764.3 KiB	22-Feb-2009 03:10
The_TRW-130_Applied_To_Tracking_Radar_Data_Processing_Aug62.pdf	False	1.3 MiB	22-Feb-2009 02:52
