name	is_dir	size	date
Sega Dreamcast - Brazilian Manuals (DMC-v2016-04-04)	True	-	03-Sep-2025 18:55
Sega Dreamcast - Europe Manuals (DMC-v2016-04-04)	True	-	04-Sep-2025 14:50
Sega Dreamcast - Hardware Manuals (DMC-v2016-04-04)	True	-	06-Sep-2025 11:15
Sega Dreamcast - Japan Manuals (DMC-v2016-04-04)	True	-	06-Sep-2025 18:39
Sega Dreamcast - Software Manuals (DMC-v2016-04-04)	True	-	06-Sep-2025 19:18
Sega Dreamcast - USA Manuals (DMC-v2016-04-04)	True	-	06-Sep-2025 19:20
18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es).7z	False	179.6 MiB	08-Apr-2016 18:14
18 Wheeler - American Pro Trucker (Japan).7z	False	168.0 MiB	08-Apr-2016 18:45
18 Wheeler - American Pro Trucker (USA).7z	False	168.8 MiB	08-Apr-2016 18:21
4 Wheel Thunder (Europe) (En,Fr).7z	False	788.1 MiB	08-Apr-2016 18:39
4 Wheel Thunder (USA).7z	False	572.2 MiB	08-Apr-2016 18:37
4x4 Evolution (USA).7z	False	271.9 MiB	08-Apr-2016 18:38
90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It).7z	False	316.7 MiB	08-Apr-2016 18:22
Aero Dancing featuring Blue Impulse (Japan).7z	False	697.9 MiB	08-Apr-2016 18:45
AeroWings (Europe) (En,Fr,De).7z	False	749.2 MiB	08-Apr-2016 18:34
AeroWings (USA).7z	False	739.3 MiB	08-Apr-2016 18:40
AeroWings 2 - Airstrike (USA).7z	False	682.3 MiB	08-Apr-2016 18:40
AirForce Delta (Japan).7z	False	774.5 MiB	08-Apr-2016 18:45
AirForce Delta (USA).7z	False	773.6 MiB	08-Apr-2016 18:41
Alienfront Online (USA).7z	False	161.2 MiB	08-Apr-2016 18:22
Alone in the Dark - The New Nightmare (USA) (Disc 1).7z	False	865.0 MiB	08-Apr-2016 18:40
Alone in the Dark - The New Nightmare (USA) (Disc 2).7z	False	956.0 MiB	08-Apr-2016 18:40
Armada (USA).7z	False	733.9 MiB	08-Apr-2016 18:40
Army Men - Sarge's Heroes (USA).7z	False	398.7 MiB	08-Apr-2016 16:07
Atari Anniversary Edition (USA).7z	False	475.0 MiB	08-Apr-2016 18:37
Bakuretsu Muteki Bangaioh (Japan).7z	False	596.3 MiB	08-Apr-2016 18:41
Bang! Gunship Elite (USA).7z	False	294.7 MiB	08-Apr-2016 18:39
Bangai-O (USA).7z	False	606.1 MiB	08-Apr-2016 18:39
Berserk - Millennium Falcon Hen Wasurebana no Shou (Japan).7z	False	768.8 MiB	08-Apr-2016 18:45
BikkuriMan 2000 - Viva! Festiva! (Japan).7z	False	142.0 MiB	08-Apr-2016 18:44
Biohazard - Code - Veronica (Japan) (Disc 1) (Genteiban).7z	False	507.5 MiB	08-Apr-2016 18:45
Biohazard - Code - Veronica (Japan) (Disc 2) (Genteiban).7z	False	607.3 MiB	08-Apr-2016 18:45
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 1).7z	False	509.6 MiB	08-Apr-2016 16:55
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 2).7z	False	686.9 MiB	08-Apr-2016 18:44
Biohazard - Code - Veronica - Trial Edition (Japan).7z	False	536.4 MiB	08-Apr-2016 17:04
Biohazard 2 - Value Plus (Japan) (Disc 1).7z	False	799.9 MiB	08-Apr-2016 18:42
Biohazard 2 - Value Plus (Japan) (Disc 2).7z	False	801.6 MiB	08-Apr-2016 18:42
Biohazard 3 - Last Escape (Japan).7z	False	546.5 MiB	08-Apr-2016 18:45
Blue Stinger (Europe).7z	False	748.6 MiB	08-Apr-2016 18:40
Blue Stinger (Germany) (En,De).7z	False	740.5 MiB	08-Apr-2016 18:41
Blue Stinger (Japan).7z	False	755.9 MiB	08-Apr-2016 18:44
Blue Stinger (USA).7z	False	685.3 MiB	08-Apr-2016 18:36
Bomberman Online (USA).7z	False	527.6 MiB	08-Apr-2016 18:40
Broadband Passport (Japan) (2M).7z	False	37.9 MiB	08-Apr-2016 16:36
Buggy Heat (Europe) (En,Fr,De,Es).7z	False	402.2 MiB	08-Apr-2016 18:25
Buggy Heat (Japan).7z	False	584.3 MiB	08-Apr-2016 18:45
Bust-A-Move 4 (USA).7z	False	146.0 MiB	08-Apr-2016 16:01
Caesars Palace 2000 - Millennium Gold Edition (Europe).7z	False	266.0 MiB	08-Apr-2016 18:27
Caesars Palace 2000 - Millennium Gold Edition (USA).7z	False	233.2 MiB	08-Apr-2016 18:30
Canary - Kono Omoi wo Uta ni Nosete (Japan).7z	False	896.2 MiB	08-Apr-2016 18:45
Cannon Spike (USA).7z	False	133.6 MiB	08-Apr-2016 18:39
Capcom vs. SNK (USA).7z	False	909.7 MiB	08-Apr-2016 18:40
Capcom vs. SNK - Millennium Fight 2000 (Japan).7z	False	906.2 MiB	08-Apr-2016 16:08
Championship Surfer (USA).7z	False	374.0 MiB	08-Apr-2016 18:37
Chicken Run (Europe) (Fr,De,Es,It).7z	False	934.4 MiB	08-Apr-2016 18:38
Chicken Run (USA).7z	False	995.6 MiB	08-Apr-2016 18:39
Chu-Chu Rocket! (Japan).7z	False	146.6 MiB	08-Apr-2016 17:29
ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es).7z	False	166.4 MiB	08-Apr-2016 18:17
ChuChu Rocket! (USA) (En,Ja,Fr,De,Es).7z	False	156.6 MiB	08-Apr-2016 18:27
Climax Landers (Japan).7z	False	182.6 MiB	08-Apr-2016 18:44
Coaster Works (USA).7z	False	103.6 MiB	08-Apr-2016 18:31
