name	is_dir	size	date
4x4 Off-Road Racing (USA).zip	False	508.6 KiB	04-Jan-2021 00:29
ABC Monday Night Football (USA) (v1.1).zip	False	1.9 MiB	04-Jan-2021 00:29
Advanced Dungeons & Dragons - DragonStrike - DragonLance Dragon Combat Simulator (USA) (v1.0).zip	False	1.5 MiB	04-Jan-2021 00:29
Advanced Dungeons & Dragons - Treasures of the Savage Frontier - A Savage Frontier Fantasy Role-Playing Epic, Vol.II (USA) (v1.00).zip	False	1.6 MiB	04-Jan-2021 00:29
Adventure Construction Set (USA).zip	False	509.5 KiB	04-Jan-2021 00:29
Afterburner (USA) (Budget - The Hit Squad).zip	False	827.2 KiB	04-Jan-2021 00:30
Agony (USA).zip	False	2.3 MiB	04-Jan-2021 00:30
Air Support (USA).zip	False	928.0 KiB	04-Jan-2021 00:30
Alien Fires 2199 AD (USA).zip	False	1.2 MiB	04-Jan-2021 00:30
Alien Syndrome (USA) (Budget - Mindscape).zip	False	359.3 KiB	04-Jan-2021 00:30
Alien Syndrome (USA).zip	False	328.0 KiB	04-Jan-2021 00:30
Amiga Karate (USA).zip	False	686.6 KiB	04-Jan-2021 00:31
Amiga.png	False	281.2 KiB	04-Jan-2021 00:28
Amiga_thumb.jpg	False	4.9 KiB	04-Jan-2021 01:21
Aquaventura (USA).zip	False	1.5 MiB	04-Jan-2021 00:31
Archipelagos (USA).zip	False	157.3 KiB	04-Jan-2021 00:31
Archon - The Light and the Dark (USA).zip	False	400.2 KiB	04-Jan-2021 00:31
Archon II - Adept (USA).zip	False	479.4 KiB	04-Jan-2021 00:32
Arctic Fox (USA).zip	False	368.6 KiB	04-Jan-2021 00:32
Arena (USA).zip	False	234.1 KiB	04-Jan-2021 00:32
Arkanoid (USA) (v1.05 1988-03-31).zip	False	253.5 KiB	04-Jan-2021 00:32
Arkanoid (USA) (v1.05 3.31.88) (AmigaDOS).zip	False	271.6 KiB	04-Jan-2021 00:32
Arthur - The Quest for Excalibur (USA) (r54).zip	False	617.8 KiB	04-Jan-2021 00:32
Atomino (USA) (En,Fr,It).zip	False	491.9 KiB	04-Jan-2021 00:32
Back to the Future Part III (USA).zip	False	1.2 MiB	04-Jan-2021 00:32
Bad Dudes (USA).zip	False	548.6 KiB	04-Jan-2021 00:32
Balance of Power - Geopolitics in the Nuclear Age (USA).zip	False	446.6 KiB	04-Jan-2021 00:33
Bard's Tale, The - Tales of the Unknown (USA).zip	False	753.5 KiB	04-Jan-2021 00:33
Battle Command (USA).zip	False	540.8 KiB	04-Jan-2021 00:33
Battle Squadron - The Destruction of the Barrax Empire! (USA).zip	False	857.5 KiB	04-Jan-2021 00:33
BattleTech - The Crescent Hawk's Inception (USA) (v2.3).zip	False	525.0 KiB	04-Jan-2021 00:33
Battlestorm (USA).zip	False	545.4 KiB	04-Jan-2021 00:33
Bermuda Project (USA).zip	False	673.7 KiB	04-Jan-2021 00:33
Beyond Zork - The Coconut of Quendor (USA) (r57).zip	False	300.4 KiB	04-Jan-2021 00:33
Bionic Commando (USA).zip	False	340.8 KiB	04-Jan-2021 00:33
Blue Angels - Formation Flight Simulation (USA).zip	False	423.6 KiB	04-Jan-2021 00:33
Boot, Das (USA).zip	False	865.7 KiB	04-Jan-2021 00:33
Brataccas (USA).zip	False	144.5 KiB	04-Jan-2021 00:33
Breach (USA).zip	False	486.9 KiB	04-Jan-2021 00:33
Bubble Bobble (USA).zip	False	201.4 KiB	04-Jan-2021 00:33
Buck Rogers - Countdown to Doomsday - Science Fiction Role-Playing Computer Game, Vol.I (USA) (v1.0).zip	False	1.3 MiB	04-Jan-2021 00:34
Bureaucracy (USA) (r86).zip	False	255.7 KiB	04-Jan-2021 00:34
Captain Blood (USA).zip	False	630.6 KiB	04-Jan-2021 00:34
Carthage (USA).zip	False	1007.2 KiB	04-Jan-2021 00:34
Castle of Dr. Brain (USA) (v1.0).zip	False	2.5 MiB	04-Jan-2021 00:34
Centurion - Defender of Rome (USA).zip	False	1.5 MiB	04-Jan-2021 00:34
Chessmaster 2100 (USA) (v1.2).zip	False	1004.1 KiB	04-Jan-2021 00:34
Chip's Challenge (USA).zip	False	214.7 KiB	04-Jan-2021 00:34
Clue - Master Detective (USA).zip	False	306.3 KiB	04-Jan-2021 00:34
Computer Third Reich (USA).zip	False	414.2 KiB	04-Jan-2021 00:34
Cosmic Relief (USA).zip	False	258.6 KiB	04-Jan-2021 00:34
Damocles - Mercenary II (USA).zip	False	219.2 KiB	04-Jan-2021 00:34
Dark Castle (USA).zip	False	875.3 KiB	04-Jan-2021 00:34
Dark Side (USA).zip	False	355.1 KiB	04-Jan-2021 00:34
Death Bringer (USA).zip	False	681.0 KiB	04-Jan-2021 00:35
Deep Space (USA) (v1.00a).zip	False	313.2 KiB	04-Jan-2021 00:35
Defender of the Crown (USA).zip	False	891.6 KiB	04-Jan-2021 00:35
Deja Vu - A Nightmare Comes True! (USA).zip	False	573.6 KiB	04-Jan-2021 00:35
Demon's Winter (USA) (v1.0).zip	False	475.0 KiB	04-Jan-2021 00:35
Double Dragon II - The Revenge (USA) (v4.16ecs).zip	False	920.5 KiB	04-Jan-2021 00:35
Dr. Doom's Revenge! (USA).zip	False	1.2 MiB	04-Jan-2021 00:35
Drakkhen (USA) (v1.1).zip	False	1.2 MiB	04-Jan-2021 00:35
Ebonstar (USA).zip	False	220.5 KiB	04-Jan-2021 00:36
F-19 Stealth Fighter (USA).zip	False	1009.2 KiB	04-Jan-2021 00:36
Falcon (USA) (v1.00).zip	False	1.1 MiB	04-Jan-2021 00:36
Falcon (USA) (v1.1).zip	False	1.1 MiB	04-Jan-2021 00:36
Falcon Mission Disk - Operation Counterstrike (USA) (Addon).zip	False	490.7 KiB	04-Jan-2021 00:36
Federation (USA).zip	False	424.9 KiB	04-Jan-2021 00:36
Fighter Duel Pro (USA).zip	False	1.6 MiB	04-Jan-2021 00:36
