name	is_dir	size	date
a2600	True	-	07-Sep-2025 15:33
a7800	True	-	07-Sep-2025 15:14
aquarius_cart	True	-	07-Sep-2025 15:14
buzztime_cart	True	-	07-Sep-2025 15:14
famibox	True	-	07-Sep-2025 15:15
gameboy	True	-	07-Sep-2025 15:16
gamegear	True	-	07-Sep-2025 15:15
gbcolor	True	-	07-Sep-2025 15:16
gmaster	True	-	07-Sep-2025 15:15
megadriv	True	-	07-Sep-2025 15:19
msx1_cart	True	-	07-Sep-2025 15:21
msxr_flop	True	-	07-Sep-2025 15:16
nes	True	-	07-Sep-2025 15:18
pc6001_cart	True	-	07-Sep-2025 15:18
playmaker	True	-	07-Sep-2025 15:18
saturn	True	-	07-Sep-2025 15:20
sms	True	-	07-Sep-2025 15:20
snes	True	-	07-Sep-2025 15:21
stv	True	-	07-Sep-2025 15:20
titles	True	-	07-Sep-2025 15:27
vic1001_cart	True	-	07-Sep-2025 15:22
