name	is_dir	size	date
Addams Family, The (USA)	True	-	06-Sep-2025 22:05
Beyond Shadowgate (USA)	True	-	07-Sep-2025 13:13
Bikini Girls (USA) (Unl)	True	-	07-Sep-2025 13:14
Bonk III - Bonk's Big Adventure (USA)	True	-	07-Sep-2025 13:14
Buster Bros. (USA)	True	-	07-Sep-2025 13:15
Camp California (USA)	True	-	07-Sep-2025 13:21
Cosmic Fantasy 2 (USA)	True	-	07-Sep-2025 13:23
Dragon Slayer - The Legend of Heroes (USA)	True	-	07-Sep-2025 13:24
Dungeon Explorer II (USA)	True	-	07-Sep-2025 13:25
Dungeon Master - Theron's Quest (USA)	True	-	07-Sep-2025 13:25
Dynastic Hero, The (USA)	True	-	07-Sep-2025 13:26
Exile (USA)	True	-	07-Sep-2025 13:31
Exile - Wicked Phenomenon (USA)	True	-	07-Sep-2025 13:31
Fantastic Night Dreams - Cotton (USA)	True	-	07-Sep-2025 13:32
Fighting Street (USA)	True	-	07-Sep-2025 13:34
Final Zone II (USA)	True	-	07-Sep-2025 13:34
Forgotten Worlds (USA) (En,Ja)	True	-	07-Sep-2025 13:35
Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA)	True	-	07-Sep-2025 13:37
Godzilla (USA)	True	-	07-Sep-2025 13:37
Hawiian Island Girls (USA) (Unl)	True	-	07-Sep-2025 13:38
Hypernova Blast (USA) (Unl)	True	-	07-Sep-2025 13:41
Implode (USA) (Unl)	True	-	07-Sep-2025 13:42
Insanity (USA) (Unl)	True	-	07-Sep-2025 13:45
It Came from the Desert (USA)	True	-	07-Sep-2025 13:46
J. B. Harold Murder Club (USA) (En,Ja)	True	-	07-Sep-2025 13:47
Jack Nicklaus Turbo Golf (USA)	True	-	07-Sep-2025 13:48
John Madden Duo CD Football (USA) (RE)	True	-	07-Sep-2025 13:48
Last Alert (USA)	True	-	07-Sep-2025 13:49
Local Girls of Hawaii, The (USA) (Unl)	True	-	07-Sep-2025 13:49
Loom (USA)	True	-	07-Sep-2025 13:49
Lords of Thunder (USA)	True	-	07-Sep-2025 13:50
Lords of the Rising Sun (USA)	True	-	07-Sep-2025 13:50
Magical Dinosaur Tour (USA)	True	-	07-Sep-2025 13:50
Meteor Blaster DX (USA) (Unl) (Rerelease)	True	-	07-Sep-2025 13:51
Might and Magic III - Isles of Terra (USA)	True	-	07-Sep-2025 13:51
Monster Lair (USA)	True	-	07-Sep-2025 13:52
Mysterious Song (USA) (En,Fr,Es) (Unl) (Rerelease)	True	-	07-Sep-2025 13:54
Prince of Persia (USA)	True	-	07-Sep-2025 13:54
Pyramid Plunder (USA) (Unl)	True	-	07-Sep-2025 13:54
Revival Chase (USA) (En,Fr) (Unl)	True	-	07-Sep-2025 13:55
Riot Zone (USA)	True	-	07-Sep-2025 13:58
Shadow of the Beast (USA)	True	-	07-Sep-2025 13:59
Shape Shifter (USA)	True	-	07-Sep-2025 14:01
Sherlock Holmes - Consulting Detective (USA)	True	-	07-Sep-2025 14:03
Sherlock Holmes - Consulting Detective - Volume 2 (USA)	True	-	07-Sep-2025 14:04
SimEarth - The Living Planet (USA)	True	-	07-Sep-2025 14:05
Splash Lake (USA)	True	-	07-Sep-2025 14:06
Super Air Zonk - Rockabilly-Paradise (USA)	True	-	07-Sep-2025 14:07
SydMead's TerraForming (USA)	True	-	07-Sep-2025 14:08
Valis II (USA)	True	-	07-Sep-2025 14:09
Valis III (USA)	True	-	07-Sep-2025 14:09
Vasteel (USA)	True	-	07-Sep-2025 14:10
Ys Book I & II (USA)	True	-	07-Sep-2025 14:10
Ys III - Wanderers from Ys (USA)	True	-	07-Sep-2025 14:11
