name	is_dir	size	date
3 Ninjas Kick Back (USA).7z	False	191.6 MiB	14-Mar-2021 05:42
A-Rank Thunder - Tanjou-hen (Japan).7z	False	323.4 MiB	14-Mar-2021 05:29
A-X-101 (USA) (RE).7z	False	281.0 MiB	14-Mar-2021 06:07
AH3 - Thunderstrike (USA).7z	False	299.3 MiB	14-Mar-2021 05:56
Adventures of Batman and Robin, The (USA).7z	False	231.3 MiB	14-Mar-2021 05:33
Adventures of Willy Beamish, The (USA).7z	False	150.7 MiB	14-Mar-2021 06:02
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan).7z	False	475.4 MiB	14-Mar-2021 05:35
After Burner III (USA).7z	False	268.1 MiB	14-Mar-2021 06:02
Aisle Lord (Japan).7z	False	174.0 MiB	14-Mar-2021 05:27
Alshark (Japan).7z	False	429.6 MiB	14-Mar-2021 05:31
Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1).7z	False	379.1 MiB	14-Mar-2021 05:22
Android Assault - The Revenge of Bari-Arm (USA).7z	False	290.0 MiB	14-Mar-2021 05:25
Animals!, The (USA).7z	False	357.3 MiB	14-Mar-2021 05:26
Annett Futatabi (Japan).7z	False	443.2 MiB	14-Mar-2021 06:04
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan).7z	False	431.2 MiB	14-Mar-2021 05:58
Arcus I, II, III (Japan).7z	False	283.4 MiB	14-Mar-2021 05:48
Arslan Senki (Japan).7z	False	317.7 MiB	14-Mar-2021 05:32
BC Racers (USA).7z	False	296.2 MiB	14-Mar-2021 05:26
Bakuden - The Unbalanced Zone (Japan).7z	False	208.6 MiB	14-Mar-2021 06:09
Bari-Arm (Japan).7z	False	290.0 MiB	14-Mar-2021 05:52
Batman Returns (USA).7z	False	404.2 MiB	14-Mar-2021 05:51
Battle Frenzy (USA) (Unl).7z	False	444.6 MiB	14-Mar-2021 05:42
BattleTech - Gray Death Legion (USA) (Unl).7z	False	41.5 MiB	14-Mar-2021 05:47
Battlecorps (USA).7z	False	384.9 MiB	14-Mar-2021 05:50
Beast II (Europe).7z	False	269.9 MiB	14-Mar-2021 06:08
Bill Walsh College Football (USA).7z	False	188.5 MiB	14-Mar-2021 05:40
Blackhole Assault (USA).7z	False	446.6 MiB	14-Mar-2021 05:45
Bloodshot - Battle Frenzy (Europe) (En,Fr,De,Es).7z	False	444.4 MiB	14-Mar-2021 06:03
Bouncers (USA).7z	False	204.6 MiB	14-Mar-2021 05:50
Bram Stoker's Dracula (USA) (Version 2.0).7z	False	309.3 MiB	14-Mar-2021 05:38
Brutal - Paws of Fury (USA).7z	False	259.9 MiB	14-Mar-2021 05:38
Bug Blasters - The Exterminators (USA) (Unl) (Rerelease).7z	False	461.2 MiB	14-Mar-2021 05:38
Burai - Yatsudama no Yuushi Densetsu (Japan).7z	False	208.9 MiB	14-Mar-2021 06:14
Burning Fists - Force Striker (USA) (Unl).7z	False	366.2 MiB	14-Mar-2021 05:44
Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE).7z	False	360.1 MiB	14-Mar-2021 05:46
Captain Tsubasa (Japan).7z	False	79.7 MiB	14-Mar-2021 05:47
Championship Soccer '94 (USA).7z	False	144.2 MiB	14-Mar-2021 05:52
Chuck Rock (USA).7z	False	240.4 MiB	14-Mar-2021 06:04
Chuck Rock II - Son of Chuck (USA).7z	False	319.0 MiB	14-Mar-2021 05:47
Citizen X (USA) (Unl).7z	False	149.4 MiB	14-Mar-2021 05:37
Cliffhanger (USA).7z	False	242.3 MiB	14-Mar-2021 05:23
Cobra Command (USA).7z	False	71.2 MiB	14-Mar-2021 05:36
Colors of Modern Rock, The (USA).7z	False	119.6 MiB	14-Mar-2021 06:05
Compton's Interactive Encyclopedia (USA) (Version 2.10) (RE2).7z	False	199.6 MiB	14-Mar-2021 05:32
Corpse Killer (USA) (Sega CD 32X).7z	False	490.3 MiB	14-Mar-2021 06:16
Corpse Killer (USA).7z	False	460.5 MiB	14-Mar-2021 06:05
Cosmic Fantasy Stories (Japan).7z	False	294.9 MiB	14-Mar-2021 05:47
Crime Patrol (USA).7z	False	204.3 MiB	14-Mar-2021 05:46
Cyborg 009 (Japan).7z	False	344.5 MiB	14-Mar-2021 05:30
Daihoushinden (Japan).7z	False	133.9 MiB	14-Mar-2021 05:49
Dark Wizard (USA).7z	False	226.5 MiB	14-Mar-2021 06:14
Death Bringer (Japan).7z	False	93.9 MiB	14-Mar-2021 06:14
Demolition Man (USA).7z	False	292.5 MiB	14-Mar-2021 06:06
Dennin Aleste - Nobunaga and His Ninja Force (Japan).7z	False	432.0 MiB	14-Mar-2021 05:41
Detonator Orgun (Japan).7z	False	152.8 MiB	14-Mar-2021 06:14
Devastator (Japan).7z	False	336.0 MiB	14-Mar-2021 05:56
Double Switch (USA).7z	False	435.1 MiB	14-Mar-2021 06:12
Dracula Unleashed (USA).7z	False	723.0 MiB	14-Mar-2021 05:36
Dragon's Lair (USA).7z	False	83.5 MiB	14-Mar-2021 05:29
Dune (USA).7z	False	202.6 MiB	14-Mar-2021 05:52
Dungeon Explorer (USA).7z	False	386.6 MiB	14-Mar-2021 05:42
Dungeon Master II - Skullkeep (USA) (RE3).7z	False	134.3 MiB	14-Mar-2021 05:22
Dynamic Country Club (Japan).7z	False	140.2 MiB	14-Mar-2021 06:16
ESPN Baseball Tonight (USA).7z	False	72.7 MiB	14-Mar-2021 05:36
ESPN NBA Hangtime '95 (USA).7z	False	319.5 MiB	14-Mar-2021 05:28
ESPN National Hockey Night (USA).7z	False	276.3 MiB	14-Mar-2021 05:57
ESPN Sunday Night NFL (USA).7z	False	161.3 MiB	14-Mar-2021 05:43
Earnest Evans (Japan).7z	False	476.3 MiB	14-Mar-2021 05:40
Earthworm Jim - Special Edition (USA) (RE).7z	False	281.3 MiB	14-Mar-2021 05:33
Ecco - The Tides of Time (USA).7z	False	527.7 MiB	14-Mar-2021 05:35
Ecco the Dolphin (USA).7z	False	499.1 MiB	14-Mar-2021 06:13
Egawa Suguru no Super League CD (Japan).7z	False	56.2 MiB	14-Mar-2021 06:12
Eternal Champions - Challenge from the Dark Side (USA).7z	False	361.6 MiB	14-Mar-2021 05:54
Eye of the Beholder (USA).7z	False	318.2 MiB	14-Mar-2021 06:08
F1 Circus CD (Japan).7z	False	329.4 MiB	14-Mar-2021 06:15
FIFA International Soccer (USA).7z	False	418.1 MiB	14-Mar-2021 05:28
FIFA International Soccer - Championship Edition (Europe).7z	False	418.1 MiB	14-Mar-2021 05:20
Fahrenheit (USA).7z	False	849.5 MiB	14-Mar-2021 05:21
Fatal Fury Special (USA).7z	False	391.1 MiB	14-Mar-2021 06:11
Final Fight CD (USA).7z	False	325.0 MiB	14-Mar-2021 05:40
Flashback - The Quest for Identity (USA).7z	False	331.4 MiB	14-Mar-2021 05:27
Flink (USA).7z	False	403.6 MiB	14-Mar-2021 05:25
Formula One World Championship - Beyond the Limit (USA).7z	False	510.9 MiB	14-Mar-2021 05:32
Fresh Cleaner (Japan).7z	False	38.8 MiB	14-Mar-2021 05:42
Genei Toshi - Illusion City (Japan).7z	False	285.8 MiB	14-Mar-2021 05:40
Ground Zero Texas (USA).7z	False	452.3 MiB	14-Mar-2021 05:46
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland Hen (Japan).7z	False	413.9 MiB	14-Mar-2021 05:34
Heart of the Alien - Out of This World Parts I and II (USA) (RE).7z	False	267.3 MiB	14-Mar-2021 06:13
Heavenly Symphony - Formula One World Championship 1993 (Japan).7z	False	511.8 MiB	14-Mar-2021 06:09
