name	is_dir	size	date
Dragon's Lair (USA).zip	False	975.8 MiB	01-Dec-2025 18:56
Dragon's Lair II - Time Warp (Europe).zip	False	1.3 GiB	01-Dec-2025 18:56
Dragon's Lair II - Time Warp (USA).zip	False	1.3 GiB	01-Dec-2025 18:57
Fast Draw Showdown (Europe).zip	False	699.4 MiB	01-Dec-2025 18:57
Fast Draw Showdown (USA) (Theme).zip	False	3.4 MiB	01-Dec-2025 18:57
Fast Draw Showdown - Fast Draw Logo (USA) (Avatar).zip	False	48.1 KiB	01-Dec-2025 18:57
Last Bounty Hunter, The (Europe) (Trial).zip	False	1.3 GiB	01-Dec-2025 18:57
Last Bounty Hunter, The (USA) (Trial).zip	False	1.3 GiB	01-Dec-2025 18:57
Mad Dog II - The Lost Gold (Europe) (Trial).zip	False	1.4 GiB	01-Dec-2025 18:58
Mad Dog II - The Lost Gold (USA) (Trial).zip	False	1.4 GiB	01-Dec-2025 18:58
Mad Dog II - The Lost Gold (USA) (Unlock Key).zip	False	6.2 KiB	01-Dec-2025 18:58
Mad Dog McCree (Europe) (Trial).zip	False	967.0 MiB	01-Dec-2025 18:58
Mad Dog McCree (USA) (Trial).zip	False	967.0 MiB	01-Dec-2025 18:58
Space Ace (Europe).zip	False	1.0 GiB	01-Dec-2025 18:59
Space Ace (USA).zip	False	1.0 GiB	01-Dec-2025 18:59
