name	is_dir	size	date
Aerial (World) (Aftermarket) (Inufuto).zip	False	8.8 KiB	06-Oct-2025 05:47
Black Castle (World) (Aftermarket) (Unl).zip	False	28.0 KiB	06-Oct-2025 05:47
Cacorm Mini (World) (v20241020) (Aftermarket) (Inufuto).zip	False	6.2 KiB	06-Oct-2025 05:47
Canyon Racer (World)(v0.7.6) (Aftermarket) (Unl).zip	False	17.8 KiB	06-Oct-2025 05:47
Canyon Racer (World)(v0.7.6) (No FX) (Aftermarket) (Unl).zip	False	17.8 KiB	06-Oct-2025 05:47
Hopman (World) (Aftermarket) (Inufuto).zip	False	6.1 KiB	06-Oct-2025 05:47
Max Pirate (World) (v20240504) (Aftermarket) (Unl).zip	False	12.8 KiB	06-Oct-2025 05:47
Pegged (World) (v1.2) (Aftermarket) (Under4Mhz).zip	False	12.5 KiB	06-Oct-2025 05:47
Penguin Migrant (World) (Aftermarket) (SunnyChowTheGuy).zip	False	8.9 KiB	06-Oct-2025 05:47
Vexed (World) (v1.08) (Aftermarket) (Unl).zip	False	13.6 KiB	06-Oct-2025 05:47
Vexed (World) (v1.09) (Aftermarket) (Unl).zip	False	13.5 KiB	06-Oct-2025 05:47
Wordyl (World) (v1.0.4) (32k,No Save) (Aftermarket) (Unl).zip	False	25.9 KiB	06-Oct-2025 05:47
