name	is_dir	size	date
basope10.zip	False	50.3 KiB	28-Sep-2025 01:25
catnetl.zip	False	13.2 KiB	28-Sep-2025 01:25
demo11.zip	False	65.0 KiB	28-Sep-2025 01:25
graf16.zip	False	58.2 KiB	28-Sep-2025 01:25
kompil.zip	False	27.5 KiB	28-Sep-2025 01:25
kronstat.zip	False	182.2 KiB	28-Sep-2025 01:25
ord800.zip	False	30.4 KiB	28-Sep-2025 01:25
pascal10.zip	False	75.3 KiB	28-Sep-2025 01:25
prommis.zip	False	26.8 KiB	28-Sep-2025 01:25
red800.zip	False	71.5 KiB	28-Sep-2025 01:25
sana800.zip	False	49.6 KiB	28-Sep-2025 01:25
sys10fi.zip	False	22.5 KiB	28-Sep-2025 01:25
sys10sw.zip	False	23.6 KiB	28-Sep-2025 01:25
trim.zip	False	18.9 KiB	28-Sep-2025 01:25
tty800.zip	False	48.4 KiB	28-Sep-2025 01:25
ufd619.zip	False	64.4 KiB	28-Sep-2025 01:25
ufd619a6.zip	False	80.0 KiB	28-Sep-2025 01:25
