name	is_dir	size	date
blckjack.zip	False	1.8 KiB	28-Sep-2025 01:33
checkers.zip	False	3.1 KiB	28-Sep-2025 01:33
complang.zip	False	11.8 KiB	28-Sep-2025 01:33
demo.zip	False	3.0 KiB	28-Sep-2025 01:33
financie.zip	False	3.3 KiB	28-Sep-2025 01:33
gladiatr.zip	False	3.2 KiB	28-Sep-2025 01:33
infoman.zip	False	5.0 KiB	28-Sep-2025 01:33
lemstand.zip	False	3.1 KiB	28-Sep-2025 01:33
mathttr1.zip	False	3.0 KiB	28-Sep-2025 01:33
moneymin.zip	False	3.0 KiB	28-Sep-2025 01:33
musictch.zip	False	1.7 KiB	28-Sep-2025 01:33
pinball.zip	False	1.7 KiB	28-Sep-2025 01:33
tennis.zip	False	3.0 KiB	28-Sep-2025 01:33
timeshar.zip	False	1.7 KiB	28-Sep-2025 01:33
vicevers.zip	False	2.8 KiB	28-Sep-2025 01:33
vidartst.zip	False	1.6 KiB	28-Sep-2025 01:33
wrdwise1.zip	False	1.7 KiB	28-Sep-2025 01:33
wrdwise2.zip	False	1.7 KiB	28-Sep-2025 01:33
