name	is_dir	size	date
alieninv.zip	False	3.1 KiB	28-Sep-2025 00:16
backgamm.zip	False	1.7 KiB	28-Sep-2025 00:16
baseball.zip	False	1.6 KiB	28-Sep-2025 00:16
bowling.zip	False	1.6 KiB	28-Sep-2025 00:16
casinop.zip	False	2.8 KiB	28-Sep-2025 00:16
checkers.zip	False	1.5 KiB	28-Sep-2025 00:16
clrorgan.zip	False	888 B	28-Sep-2025 00:16
democrt1.zip	False	1.7 KiB	28-Sep-2025 00:16
democrt2.zip	False	1.6 KiB	28-Sep-2025 00:16
dodgeit.zip	False	1.7 KiB	28-Sep-2025 00:16
dragrace.zip	False	1.5 KiB	28-Sep-2025 00:16
drawpkr.zip	False	2.9 KiB	28-Sep-2025 00:16
dsrtfox.zip	False	1.4 KiB	28-Sep-2025 00:16
football.zip	False	3.3 KiB	28-Sep-2025 00:16
galactic.zip	False	1.7 KiB	28-Sep-2025 00:16
galacticp.zip	False	1.7 KiB	28-Sep-2025 00:16
hangman.zip	False	2.9 KiB	28-Sep-2025 00:16
magicnum.zip	False	1.7 KiB	28-Sep-2025 00:16
maze.zip	False	1.7 KiB	28-Sep-2025 00:16
mazea.zip	False	1.7 KiB	28-Sep-2025 00:16
memory.zip	False	1.5 KiB	28-Sep-2025 00:16
mthquiz1.zip	False	1.3 KiB	28-Sep-2025 00:16
mthquiz2.zip	False	1.4 KiB	28-Sep-2025 00:16
muehle.zip	False	1.5 KiB	28-Sep-2025 00:16
multicrt.zip	False	63.0 KiB	28-Sep-2025 00:16
multicrto.zip	False	58.8 KiB	28-Sep-2025 00:16
ordtvlng.zip	False	2.9 KiB	28-Sep-2025 00:16
pfootbll.zip	False	2.6 KiB	28-Sep-2025 00:16
pinball.zip	False	1.8 KiB	28-Sep-2025 00:16
pinballa.zip	False	1.8 KiB	28-Sep-2025 00:16
ratmal.zip	False	2.9 KiB	28-Sep-2025 00:16
robotwar.zip	False	1.7 KiB	28-Sep-2025 00:16
robotwarp.zip	False	616 B	28-Sep-2025 00:16
schach.zip	False	3.8 KiB	28-Sep-2025 00:16
slotmchn.zip	False	1.4 KiB	28-Sep-2025 00:16
sonrsrch.zip	False	1.8 KiB	28-Sep-2025 00:16
spacewar.zip	False	1.3 KiB	28-Sep-2025 00:16
spitfire.zip	False	1.6 KiB	28-Sep-2025 00:16
spitfirep.zip	False	1.7 KiB	28-Sep-2025 00:16
tctactoe.zip	False	1.6 KiB	28-Sep-2025 00:16
vblckjck.zip	False	1.7 KiB	28-Sep-2025 00:16
werbetxt.zip	False	1.9 KiB	28-Sep-2025 00:16
whizball.zip	False	2.6 KiB	28-Sep-2025 00:16
