name	is_dir	size	date
Rock Band 3 - L7 - Pretend We're Dead (Europe) (DLC) (RB3) (sZJ).wad	False	23.1 MiB	22-Jul-2020 18:59
Rock Band 3 - L7 - Pretend We're Dead (USA) (DLC) (RB3) (sZJ).wad	False	23.1 MiB	22-Jul-2020 18:50
Rock Band 3 - Lacuna Coil - Our Truth (Europe) (DLC) (RB3) (sZJ).wad	False	23.0 MiB	22-Jul-2020 18:59
Rock Band 3 - Lacuna Coil - Our Truth (USA) (DLC) (RB3) (sZJ).wad	False	23.0 MiB	22-Jul-2020 18:50
Rock Band 3 - Lady Antebellum - Need You Now (Europe) (DLC) (RB3) (sZK).wad	False	20.9 MiB	22-Jul-2020 19:00
Rock Band 3 - Lady Antebellum - Need You Now (USA) (DLC) (RB3) (sZK).wad	False	20.9 MiB	22-Jul-2020 18:47
Rock Band 3 - Lady Antebellum - Perfect Day (Europe) (DLC) (RB3) (sZL).wad	False	17.2 MiB	22-Jul-2020 19:01
Rock Band 3 - Lady Antebellum - Perfect Day (USA) (DLC) (RB3) (sZL).wad	False	17.2 MiB	22-Jul-2020 17:56
Rock Band 3 - Lady Gaga - Born This Way (Europe) (DLC) (RB3) (sZK).wad	False	21.3 MiB	22-Jul-2020 19:00
Rock Band 3 - Lady Gaga - Born This Way (USA) (DLC) (RB3) (sZK).wad	False	21.3 MiB	22-Jul-2020 18:47
Rock Band 3 - Lady Gaga - LoveGame (Europe) (DLC) (RB3) (sZK).wad	False	21.6 MiB	22-Jul-2020 19:00
Rock Band 3 - Lady Gaga - LoveGame (USA) (DLC) (RB3) (sZK).wad	False	21.6 MiB	22-Jul-2020 18:47
Rock Band 3 - Lady Gaga - Paparazzi (Europe) (DLC) (RB3) (sZK).wad	False	18.2 MiB	22-Jul-2020 19:00
Rock Band 3 - Lady Gaga - Paparazzi (USA) (DLC) (RB3) (sZK).wad	False	18.2 MiB	22-Jul-2020 18:47
Rock Band 3 - Laura Bell Bundy - Giddy On Up (Europe) (DLC) (RB3) (sZL).wad	False	22.0 MiB	22-Jul-2020 19:01
Rock Band 3 - Laura Bell Bundy - Giddy On Up (USA) (DLC) (RB3) (sZL).wad	False	22.0 MiB	22-Jul-2020 17:56
Rock Band 3 - Limp Bizkit - Gold Cobra (Europe) (DLC) (RB3) (sZL).wad	False	18.9 MiB	22-Jul-2020 19:01
Rock Band 3 - Limp Bizkit - Gold Cobra (USA) (DLC) (RB3) (sZL).wad	False	18.9 MiB	22-Jul-2020 17:56
Rock Band 3 - Limp Bizkit - My Way (Europe) (DLC) (RB3) (sZL).wad	False	19.3 MiB	22-Jul-2020 19:01
Rock Band 3 - Limp Bizkit - My Way (USA) (DLC) (RB3) (sZL).wad	False	19.3 MiB	22-Jul-2020 17:56
Rock Band 3 - Limp Bizkit - Nookie (Europe) (DLC) (RB3) (sZL).wad	False	18.9 MiB	22-Jul-2020 19:01
Rock Band 3 - Limp Bizkit - Nookie (USA) (DLC) (RB3) (sZL).wad	False	18.9 MiB	22-Jul-2020 17:56
Rock Band 3 - Limp Bizkit - Re-Arranged (Europe) (DLC) (RB3) (sZL).wad	False	21.7 MiB	22-Jul-2020 19:01
Rock Band 3 - Limp Bizkit - Re-Arranged (USA) (DLC) (RB3) (sZL).wad	False	21.7 MiB	22-Jul-2020 17:56
Rock Band 3 - Linea 77 - Fantasma (Europe) (DLC) (RB3) (sZJ).wad	False	18.4 MiB	22-Jul-2020 18:59
Rock Band 3 - Linea 77 - Fantasma (USA) (DLC) (RB3) (sZJ).wad	False	18.4 MiB	22-Jul-2020 18:51
Rock Band 3 - Linkin Park - Breaking the Habit (Europe) (DLC) (RB3) (sZL).wad	False	16.8 MiB	22-Jul-2020 19:01
Rock Band 3 - Linkin Park - Breaking the Habit (USA) (DLC) (RB3) (sZL).wad	False	16.8 MiB	22-Jul-2020 17:56
Rock Band 3 - Linkin Park - Burn It Down (Europe) (DLC) (RB3) (sZL).wad	False	21.4 MiB	22-Jul-2020 19:01
Rock Band 3 - Linkin Park - Burn It Down (USA) (DLC) (RB3) (sZL).wad	False	21.4 MiB	22-Jul-2020 17:56
Rock Band 3 - Linkin Park - Crawling (Europe) (DLC) (RB3) (sZJ).wad	False	22.0 MiB	22-Jul-2020 18:59
Rock Band 3 - Linkin Park - Crawling (USA) (DLC) (RB3) (sZJ).wad	False	22.0 MiB	22-Jul-2020 18:51
Rock Band 3 - Linkin Park - In the End (Europe) (DLC) (RB3) (sZJ).wad	False	22.4 MiB	22-Jul-2020 18:59
Rock Band 3 - Linkin Park - In the End (USA) (DLC) (RB3) (sZJ).wad	False	22.4 MiB	22-Jul-2020 18:51
Rock Band 3 - Linkin Park - New Divide (Europe) (DLC) (RB3) (sZL).wad	False	19.7 MiB	22-Jul-2020 19:01
Rock Band 3 - Linkin Park - New Divide (USA) (DLC) (RB3) (sZL).wad	False	19.7 MiB	22-Jul-2020 17:56
Rock Band 3 - Linkin Park - Numb (Europe) (DLC) (RB3) (sZJ).wad	False	20.5 MiB	22-Jul-2020 18:59
Rock Band 3 - Linkin Park - Numb (USA) (DLC) (RB3) (sZJ).wad	False	20.5 MiB	22-Jul-2020 18:51
Rock Band 3 - Linkin Park - One Step Closer (Europe) (DLC) (RB3) (sZJ).wad	False	18.0 MiB	22-Jul-2020 18:59
Rock Band 3 - Linkin Park - One Step Closer (USA) (DLC) (RB3) (sZJ).wad	False	18.0 MiB	22-Jul-2020 18:50
Rock Band 3 - Linkin Park - Shadow of the Day (Europe) (DLC) (RB3) (sZL).wad	False	14.8 MiB	22-Jul-2020 19:01
Rock Band 3 - Linkin Park - Shadow of the Day (USA) (DLC) (RB3) (sZL).wad	False	14.8 MiB	22-Jul-2020 17:56
