name	is_dir	size	date
Akumajou Dracula (Japan) (SNES) (Virtual Console).zip	False	3.6 MiB	17-Mar-2022 05:45
Binding of Isaac - Rebirth, The (Europe) (eShop).zip	False	331.2 MiB	17-Mar-2022 05:45
Binding of Isaac - Rebirth, The (Japan) (eShop).zip	False	335.0 MiB	17-Mar-2022 05:45
Binding of Isaac - Rebirth, The (Japan) [b].zip	False	335.2 MiB	18-Apr-2022 22:46
Binding of Isaac - Rebirth, The (USA) (eShop).zip	False	319.9 MiB	17-Mar-2022 05:45
Binding of Isaac - Rebirth, The (USA) (v1040) (eShop).zip	False	328.6 MiB	17-Mar-2022 05:46
Binding of Isaac - Rebirth, The (USA) (v2080) (eShop).zip	False	329.0 MiB	17-Mar-2022 05:46
Binding of Isaac - Rebirth, The (USA) (v3120) (eShop).zip	False	331.1 MiB	17-Mar-2022 05:46
Binding of Isaac, The - Rebirth (Korea).zip	False	351.4 MiB	17-Mar-2022 05:46
BlockForm (Europe).zip	False	40.4 MiB	17-Mar-2022 05:46
BlockForm (USA).zip	False	40.4 MiB	17-Mar-2022 05:46
Box Up (Europe).zip	False	29.9 MiB	17-Mar-2022 05:46
Box Up (USA).zip	False	29.6 MiB	17-Mar-2022 05:46
Breath of Fire (USA, Europe) (SNES) (Virtual Console).zip	False	6.6 MiB	17-Mar-2022 05:46
Breath of Fire - Ryuu no Senshi (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	4.1 MiB	07-Jun-2022 01:39
Breath of Fire II (USA, Europe) (SNES) (Virtual Console).zip	False	8.3 MiB	17-Mar-2022 05:46
Breath of Fire II - Shimei no Ko (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	5.6 MiB	07-Jun-2022 01:39
Brick Race (Europe).zip	False	28.8 MiB	17-Mar-2022 05:46
Brick Race (USA).zip	False	28.8 MiB	17-Mar-2022 05:46
Castlevania Dracula X (USA, Europe) (SNES) (Virtual Console).zip	False	6.5 MiB	17-Mar-2022 05:46
Chou Makaimura (Japan) (SNES) (Virtual Console).zip	False	3.7 MiB	17-Mar-2022 05:46
Color Cubes (Europe).zip	False	40.1 MiB	17-Mar-2022 05:46
Color Cubes (USA).zip	False	40.1 MiB	17-Mar-2022 05:46
Contra III - The Alien Wars (USA, Europe) (SNES) (Virtual Console).zip	False	5.5 MiB	17-Mar-2022 05:46
Contra Spirits (Japan) (SNES) (Virtual Console).zip	False	3.8 MiB	17-Mar-2022 05:46
Cup Critters (Europe).zip	False	32.6 MiB	17-Mar-2022 05:46
Cup Critters (USA).zip	False	32.6 MiB	17-Mar-2022 05:46
Demon's Blazon - Makai-Mura Monshou Hen (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	4.7 MiB	07-Jun-2022 01:39
Demon's Crest (USA, Europe) (SNES) (Virtual Console).zip	False	6.8 MiB	17-Mar-2022 05:46
Densetsu no Ogre Battle - The March of the Black Queen (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	4.5 MiB	07-Jun-2022 01:39
Donkey Kong Country (USA, Europe) (SNES) (Virtual Console).zip	False	8.7 MiB	17-Mar-2022 05:46
Donkey Kong Country 2 - Diddy's Kong Quest (USA, Europe) (SNES) (Virtual Console).zip	False	9.5 MiB	17-Mar-2022 05:46
Donkey Kong Country 3 - Dixie Kong's Double Trouble (USA, Europe) (SNES) (Virtual Console).zip	False	9.5 MiB	17-Mar-2022 05:46
Dragon Ball Z - Super Butoden 2 (Europe) (SNES) (Virtual Console) (Encrypted CIA).zip	False	37.9 MiB	07-Jun-2022 01:39
Dragon Ball Z - Super Butoden 2 (USA) (SNES) (Virtual Console) (Encrypted CIA).zip	False	37.2 MiB	07-Jun-2022 01:39
Dragon Fang (Japan) [b].zip	False	298.6 MiB	18-Apr-2022 22:46
DragonFang - The Doran and Dungeon of Time (Japan).zip	False	250.8 MiB	17-Mar-2022 05:46
EarthBound (USA, Europe) (SNES) (Virtual Console).zip	False	9.7 MiB	17-Mar-2022 05:46
F-Zero (Japan) (SNES) (Virtual Console).zip	False	3.1 MiB	17-Mar-2022 05:46
F-Zero (USA, Europe) (SNES) (Virtual Console).zip	False	4.9 MiB	17-Mar-2022 05:46
Final Fantasy V (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	5.1 MiB	07-Jun-2022 01:39
Final Fantasy VI (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip	False	6.4 MiB	07-Jun-2022 01:39
Final Fight (Japan) (SNES) (Virtual Console).zip	False	3.9 MiB	17-Mar-2022 05:46
Final Fight (USA, Europe) (SNES) (Virtual Console).zip	False	5.5 MiB	17-Mar-2022 05:46
Final Fight 2 (Japan) (SNES) (Virtual Console).zip	False	3.8 MiB	17-Mar-2022 05:46
Final Fight 2 (USA, Europe) (SNES) (Virtual Console).zip	False	5.7 MiB	17-Mar-2022 05:46
Final Fight 3 (USA, Europe) (SNES) (Virtual Console).zip	False	7.6 MiB	17-Mar-2022 05:46
Final Fight Tough (Japan) (SNES) (Virtual Console).zip	False	5.9 MiB	17-Mar-2022 05:46
Fire Emblem - Monshou no Nazo (Japan) (SNES) (Virtual Console).zip	False	6.3 MiB	17-Mar-2022 05:46
