name	is_dir	size	date
38-man Kilo no Kokuu (Japan) (PC-9801).zip	False	4.9 MiB	15-Mar-2024 21:46
3D Golf Simulation - Super Version (Japan) (PC-6601).zip	False	3.5 MiB	15-Mar-2024 21:46
8-bit Rhythm Land (Japan) (FC).zip	False	2.0 MiB	15-Mar-2024 21:46
A Ressha de Ikou (Japan) (FM-7).zip	False	1.9 MiB	15-Mar-2024 21:46
A Ressha de Ikou (Japan) (PC-8801).zip	False	1.8 MiB	15-Mar-2024 21:46
A Ressha de Ikou 4 (Japan) (PC-9801).zip	False	23.2 MiB	15-Mar-2024 21:46
A Ressha de Ikou II (Japan) (X68000).zip	False	10.7 MiB	15-Mar-2024 21:46
A Ressha de Ikou III (Japan) (PC Engine).zip	False	13.0 MiB	15-Mar-2024 21:46
A Ressha de Ikou III (Japan) (PC-9801).zip	False	13.1 MiB	15-Mar-2024 21:46
AX-1 - Demonstration (Japan) (PC-6001).zip	False	221.5 KiB	15-Mar-2024 21:46
AX-2 - Dual Alien (Japan) (PC-6001).zip	False	4.0 MiB	15-Mar-2024 21:46
AX-3 - Interfight (Japan) (PC-6001).zip	False	4.7 MiB	15-Mar-2024 21:46
AX-3 - Slot Poker (Japan) (PC-6001).zip	False	4.7 MiB	15-Mar-2024 21:46
AX-4 - Black Hole (Japan) (PC-6001).zip	False	4.8 MiB	15-Mar-2024 21:46
AX-5 - Olion (Japan) (PC-6001).zip	False	3.9 MiB	15-Mar-2024 21:46
Aapaa Myaa Dock (Japan) (MSX2).zip	False	1014.1 KiB	15-Mar-2024 21:46
Aapaa Myaa Dock (Japan) (Rev 1) (MSX2).zip	False	1.1 MiB	15-Mar-2024 21:46
Abyss (Japan) (FM-7).zip	False	779.5 KiB	15-Mar-2024 21:46
Abyss (Japan) (PC-8801).zip	False	564.4 KiB	15-Mar-2024 21:46
Abyss (Japan) (Rev 1) (PC-8801).zip	False	2.1 MiB	15-Mar-2024 21:46
Abyss 2 - Teiou no Namida (Japan) (PC-8801).zip	False	530.5 KiB	15-Mar-2024 21:46
Abyss II (Japan) (PC-8801).zip	False	3.2 MiB	15-Mar-2024 21:46
Abyss II - Teiou no Namida (Japan) (PC-8801).zip	False	1.3 MiB	15-Mar-2024 21:46
Addmath (Japan) (PC-9801).zip	False	1.2 MiB	15-Mar-2024 21:46
Addmath (World) (Ja) (PC-9801).zip	False	955.7 KiB	15-Mar-2024 21:46
Advanced Fantasian (Japan) (PC-8801).zip	False	7.7 MiB	15-Mar-2024 21:46
Advanced Fantasian (Japan) (PC-8801mkIISR).zip	False	2.0 MiB	15-Mar-2024 21:46
Advanced Lord Monarch (Japan) (PC-9801).zip	False	2.9 MiB	15-Mar-2024 21:46
Advanced Lord Monarch (Japan) (Rev 1) (PC-9801).zip	False	12.7 MiB	15-Mar-2024 21:46
Adventure #2 - The Knight of Wonderland (Japan) (FM-7).zip	False	1.3 MiB	15-Mar-2024 21:46
Aero Blasters (Japan) (Mega Drive).zip	False	3.1 MiB	15-Mar-2024 21:46
Aero-Cross (Japan) (Arcade).zip	False	465.6 KiB	15-Mar-2024 21:46
Aggres (Japan) (PC-8801).zip	False	671.4 KiB	15-Mar-2024 21:46
Agni no Ishi (Japan) (MSX2).zip	False	1.1 MiB	15-Mar-2024 21:46
Agni no Ishi (Japan) (PC-8801).zip	False	1.2 MiB	15-Mar-2024 21:46
Ai Chou Aniki - Full-ban (Japan) (PC Engine).zip	False	491.7 MiB	15-Mar-2024 21:46
Ai Chou Aniki - Tiny-ban (Japan) (PC Engine).zip	False	25.4 MiB	15-Mar-2024 21:46
Air Combat - Yuugekiou (Japan) (X68000).zip	False	9.5 MiB	15-Mar-2024 21:46
Air Combat II (Japan) (PC-9801).zip	False	13.6 MiB	15-Mar-2024 21:46
Air Combat III (Japan) (PC-9801).zip	False	19.8 MiB	15-Mar-2024 21:46
Akai Sumou - Ai no Dosukoi Densetsu (Japan) (PC-9801).zip	False	2.0 MiB	15-Mar-2024 21:46
Akai Sumou - Ai no Dosukoi Densetsu - Dai-2-wa - Arashi no Dosukoinger Z (Japan) (PC-9801).zip	False	1.6 MiB	15-Mar-2024 21:46
Akai Sumou - Ai no Dosukoi Densetsu - Dai-3-wa - Kieta Kiba Yuu (Japan) (PC-9801).zip	False	2.8 MiB	15-Mar-2024 21:46
Akanbe Dragon (Japan) (MSX2).zip	False	2.3 MiB	15-Mar-2024 21:46
Akanbe Dragon (Japan) (Rev 1) (MSX2).zip	False	2.5 MiB	15-Mar-2024 21:46
Akumajou Dracula (Japan) (MSX2).zip	False	3.1 MiB	15-Mar-2024 21:46
Albatross (Japan) (MSX).zip	False	647.8 KiB	15-Mar-2024 21:46
Albert Odyssey (Japan) (SFC).zip	False	5.7 MiB	15-Mar-2024 21:46
Aleste (Eigo-ban) (Japan) (MSX2).zip	False	2.8 MiB	15-Mar-2024 21:46
Aleste (Japan) (MSX2).zip	False	1021.7 KiB	15-Mar-2024 21:46
Aleste - 1 & 2 Plus (World) (Ja) (MSX).zip	False	3.4 MiB	15-Mar-2024 21:46
Aleste - English (World) (Ja) (MSX2).zip	False	2.8 MiB	15-Mar-2024 21:46
Aleste 1 & 2 Plus (Japan) (MSX2).zip	False	3.4 MiB	15-Mar-2024 21:46
Aleste 2 (Eigo-ban) (Japan) (MSX2).zip	False	1.4 MiB	15-Mar-2024 21:46
Aleste 2 (Japan) (MSX2).zip	False	1.7 MiB	15-Mar-2024 21:46
Aleste 2 - English (World) (Ja) (MSX2).zip	False	1.4 MiB	15-Mar-2024 21:46
Alpha (Japan) (PC-8801).zip	False	3.1 MiB	15-Mar-2024 21:46
Alpha (Japan) (PC-9801).zip	False	4.0 MiB	15-Mar-2024 21:46
Alpha (Japan) (X1).zip	False	2.8 MiB	15-Mar-2024 21:46
Alphax Z (Japan) (Arcade).zip	False	595.3 KiB	15-Mar-2024 21:46
Amaranth III (Japan) (PC-9801).zip	False	12.7 MiB	15-Mar-2024 21:46
Amaranth IV (Japan) (PC-9801).zip	False	19.6 MiB	15-Mar-2024 21:46
American Success (Japan) (MSX2).zip	False	1.1 MiB	15-Mar-2024 21:46
American Success (Japan) (PC-8801).zip	False	1.2 MiB	15-Mar-2024 21:46
American Success (Japan) (PC-8801mkIISR).zip	False	1.2 MiB	15-Mar-2024 21:46
American Truck (Japan) (MSX).zip	False	753.7 KiB	15-Mar-2024 21:46
American Truck (Japan) (PC-6001mkII).zip	False	268.1 KiB	15-Mar-2024 21:46
American Truck (Japan) (Rev 1) (MSX).zip	False	751.3 KiB	15-Mar-2024 21:46
American Truck (Japan) (Rev 1) (PC-6001mkII).zip	False	681.2 KiB	15-Mar-2024 21:46
Ancient Ys Vanished Omen - Ys (Japan) (PC-8801mkIISR).zip	False	8.3 MiB	15-Mar-2024 21:46
Ankoku Seiun (Japan) (FM-7).zip	False	717.7 KiB	15-Mar-2024 21:46
Ankoku Seiun (Japan) (PC-6001mkII).zip	False	2.4 MiB	15-Mar-2024 21:46
Ankoku-Yousai Relics (World) (Ja) (FC).zip	False	294.1 KiB	15-Mar-2024 21:46
Another (Japan) (MSX).zip	False	594.4 KiB	15-Mar-2024 21:46
Anty (Japan) (MSX).zip	False	808.2 KiB	15-Mar-2024 21:46
Anty (World) (Ja) (MSX).zip	False	246.1 KiB	15-Mar-2024 21:46
Apple Sauce - Angler (Japan) (Windows).zip	False	5.1 MiB	15-Mar-2024 21:46
Apple Sauce - Hikyou Tankentai (Japan) (PC-9801).zip	False	3.0 MiB	15-Mar-2024 21:46
Apple Sauce - Hinamatsuri (Japan) (PC-9801).zip	False	1.2 MiB	15-Mar-2024 21:46
Apple Sauce - Journey (Japan) (Windows).zip	False	4.7 MiB	15-Mar-2024 21:46
Apple Sauce - Mori no Christmas (Japan) (PC-9801).zip	False	2.4 MiB	15-Mar-2024 21:46
Apple Sauce - Pirates (Japan) (PC-9801).zip	False	1.2 MiB	15-Mar-2024 21:46
Apple Sauce - Room (Japan) (PC-9801).zip	False	1.9 MiB	15-Mar-2024 21:46
Apple Sauce - Western (Japan) (PC-9801).zip	False	1.6 MiB	15-Mar-2024 21:46
Apple Sauce 7 - Moore Cuase Luppa (Japan) (PC-9801).zip	False	1.5 MiB	15-Mar-2024 21:46
Aqua Polis SOS (Japan) (MSX).zip	False	1.0 MiB	15-Mar-2024 21:46
Aramo (Japan) (MSX).zip	False	4.7 MiB	15-Mar-2024 21:46
Arctic (Japan) (PC-9801).zip	False	1.5 MiB	15-Mar-2024 21:46
Arcus (Japan) (MSX2).zip	False	2.0 MiB	15-Mar-2024 21:46
Arcus (Japan) (PC-8801).zip	False	1.3 MiB	15-Mar-2024 21:46
Arcus 3 (Japan) (PC-9801).zip	False	4.8 MiB	15-Mar-2024 21:46
Arcus II - Silent Symphony (Japan) (MSX2).zip	False	2.7 MiB	15-Mar-2024 21:46
Arcus II - Silent Symphony (Japan) (Rev 1) (MSX2).zip	False	2.7 MiB	15-Mar-2024 21:46
Arcus Odyssey (Japan) (Mega Drive).zip	False	1.2 MiB	15-Mar-2024 21:46
Arcus Odyssey (Japan) (X68000).zip	False	14.6 MiB	15-Mar-2024 21:46
Arcush (Japan) (MSX2).zip	False	1.2 MiB	15-Mar-2024 21:46
Arcush (Japan) (PC-9801).zip	False	1.1 MiB	15-Mar-2024 21:46
Arcush (Japan) (Rev 1) (MSX2).zip	False	3.3 MiB	15-Mar-2024 21:46
Argo (Japan) (PC-8801).zip	False	1.7 MiB	15-Mar-2024 21:46
Argo (Japan) (PC-8801mkIISR).zip	False	2.5 MiB	15-Mar-2024 21:46
Arguice no Tsubasa (Japan) (MSX2).zip	False	17.6 MiB	15-Mar-2024 21:46
Arguice no Tsubasa (Japan) (PC-8801).zip	False	17.1 MiB	15-Mar-2024 21:46
Arguice no Tsubasa (Japan) (PC-9801).zip	False	18.5 MiB	15-Mar-2024 21:46
Arguice no Tsubasa (Japan) (Rev 1) (PC-8801).zip	False	18.0 MiB	15-Mar-2024 21:46
Argus (Japan) (FC).zip	False	1.1 MiB	15-Mar-2024 21:46
Arks Road (Japan) (PC-8801).zip	False	529.2 KiB	15-Mar-2024 21:46
Arks Road (Japan) (Rev 1) (PC-8801).zip	False	11.9 MiB	15-Mar-2024 21:46
Art Jigsaw - Vol. 1 - Superweapon (Japan) (PC-9801).zip	False	4.3 MiB	15-Mar-2024 21:46
Art Jigsaw - Vol. 2 - Pretty Girl (Japan) (PC-9801).zip	False	4.4 MiB	15-Mar-2024 21:46
