name	is_dir	size	date
AI Shougi (1995)(Taito)(JP).zip	False	15.7 MiB	28-Jan-2023 06:05
Alone in the Dark (1994)(Infogrames)(EU).zip	False	209.1 MiB	28-Jan-2023 06:05
Alone in the Dark (1994)(Interplay)(US)[!].zip	False	179.1 MiB	28-Jan-2023 06:05
Alone in the Dark (1994)(Pony Canyon)(JP)[!].zip	False	194.0 MiB	28-Jan-2023 06:05
Alone in the Dark (1994)(Pony Canyon)(JP)[tr ru aliast - aspyd - FantasyNik][v20170807].zip	False	183.1 MiB	28-Jan-2023 06:06
Alone in the Dark (1994)(Pony Canyon)(JP)[tr ru aliast - aspyd - FantasyNik][v20170912].zip	False	183.1 MiB	28-Jan-2023 06:06
Alone in the Dark 2 (1995)(Electronic Arts)(JP)[!].zip	False	355.5 MiB	28-Jan-2023 06:06
Alone in the Dark 2 (1995)(Infogrames)(EU).zip	False	253.7 MiB	28-Jan-2023 06:06
Alone in the Dark 2 (1995)(Infogrames)(FR).zip	False	253.7 MiB	28-Jan-2023 06:06
Alone in the Dark 2 (1995)(Interplay)(US)[!].zip	False	312.0 MiB	28-Jan-2023 06:06
Alone in the Dark 2 (1995)(Interplay)(US)[tr ru aliast - FantasyNik][1.0].zip	False	312.0 MiB	28-Jan-2023 06:07
Alone in the Dark 2 (1995)(Interplay)(US)[tr ru aliast - FantasyNik][1.6].zip	False	312.0 MiB	28-Jan-2023 06:07
Another World (1994)(Interplay)(EU)[!].zip	False	163.8 MiB	28-Jan-2023 06:07
Armageddon (1996)(LG)(KR).zip	False	340.4 MiB	28-Jan-2023 06:07
AutoBahn Tokio (1995)(Panasonic)(JP)(en)[!].zip	False	74.0 MiB	28-Jan-2023 06:07
BC Racers (1995)(GoldStar)(EU-US)[!].zip	False	225.4 MiB	28-Jan-2023 06:09
Bakushou!! All Yoshimoto Quiz ou Ketteisen (1995)(Yoshimoto Kogyo)(JP)[!].zip	False	470.1 MiB	28-Jan-2023 06:07
Ballz - The Director's Cut (1995)(Panasonic)[!].zip	False	99.6 MiB	28-Jan-2023 06:08
Battle Blues (1996)(LG)(KR).zip	False	325.8 MiB	28-Jan-2023 06:08
Battle Chess (1993)(Interplay)(JP)[!].zip	False	122.6 MiB	28-Jan-2023 06:08
Battle Chess (1993)(Interplay)(US)[!].zip	False	115.4 MiB	28-Jan-2023 06:08
Battle Chess (1994)(Interplay)(PAL)(EU)[!].zip	False	128.6 MiB	28-Jan-2023 06:08
Battle Pinball (1994)(Panasonic)(JP)[!].zip	False	76.6 MiB	28-Jan-2023 06:08
BattleSport (1995)(Studio 3DO)(EU)[!].zip	False	311.4 MiB	28-Jan-2023 06:08
BattleSport (1995)(Studio 3DO)(US)[!].zip	False	311.4 MiB	28-Jan-2023 06:08
Belzerion (1994)(Human)(JP)[!].zip	False	275.3 MiB	28-Jan-2023 06:09
Bishoujo Senshi Sailor Moon S (1995)(Bandai)(JP)[!].zip	False	382.1 MiB	28-Jan-2023 06:09
Bishoujo Senshi Sailor Moon S (1995)(Bandai)(JP)[tr ru Spider].zip	False	382.1 MiB	28-Jan-2023 06:09
BladeForce (1995)(Studio 3DO)(EU)[!].zip	False	190.0 MiB	28-Jan-2023 06:09
BladeForce (1995)(Studio 3DO)(JP)[!].zip	False	245.1 MiB	28-Jan-2023 06:10
BladeForce (1995)(Studio 3DO)(US)[!].zip	False	190.0 MiB	28-Jan-2023 06:10
Blood Angels - Space Hulk (1995)(Electronic Arts)(JP).zip	False	179.1 MiB	28-Jan-2023 06:10
Blue Forest Monogatari (1996)(Panasonic)(JP)[!].zip	False	203.3 MiB	28-Jan-2023 06:10
Brain Dead 13 Starring Fritz (1995)(ReadySoft)(US)(Disc 1 of 2)[!].zip	False	315.8 MiB	28-Jan-2023 06:10
Brain Dead 13 Starring Fritz (1995)(ReadySoft)(US)(Disc 2 of 2)[!].zip	False	196.3 MiB	28-Jan-2023 06:10
Brain Dead 13 Starring Fritz v1.1 (1995)(ReadySoft)(US)(Disc 1 of 2)[!].zip	False	315.7 MiB	28-Jan-2023 06:10
Burning Soldier (1994)(Panasonic)(CA).zip	False	245.3 MiB	28-Jan-2023 06:10
Burning Soldier (1994)(Panasonic)(EU)[!].zip	False	287.9 MiB	28-Jan-2023 06:11
Burning Soldier (1994)(Panasonic)(JP)(en)[!].zip	False	245.2 MiB	28-Jan-2023 06:11
Burning Soldier (1994)(Panasonic)(US)[!].zip	False	245.3 MiB	28-Jan-2023 06:11
Bust-A-Move (1995)(Taito)(US).zip	False	101.8 MiB	28-Jan-2023 06:11
Cannon Fodder (1994)(Virgin)(EU)[!].zip	False	135.0 MiB	28-Jan-2023 06:11
Cannon Fodder (1994)(Virgin)(US)[!].zip	False	103.6 MiB	28-Jan-2023 06:11
Captain Quazar (1995)(Studio 3DO)(EU)[!].zip	False	435.0 MiB	28-Jan-2023 06:12
Captain Quazar (1996)(Studio 3DO)(JP).zip	False	422.4 MiB	28-Jan-2023 06:12
Captain Quazar (1996)(Studio 3DO)(US)[!].zip	False	435.0 MiB	28-Jan-2023 06:12
Casper (1996)(Interplay)(US)[!].zip	False	134.8 MiB	28-Jan-2023 06:12
Casper (1996)(Interplay)(US)[f PAL aliast].zip	False	134.8 MiB	28-Jan-2023 06:12
