name	is_dir	size	date
America's National Parks (1992)(Multicom)(US).zip	False	166.3 MiB	29-Jan-2023 01:38
American Heritage - Illustrated Encyclopedic Dictionary (1992)(Xiphias)(US).zip	False	245.1 MiB	29-Jan-2023 01:38
American Vista - The Multimedia U.S. Atlas (1992)(Applied Optical Media Corporation)(US).zip	False	147.8 MiB	29-Jan-2023 01:38
Americans in Space (1992)(Multicom)(US).zip	False	333.8 MiB	29-Jan-2023 01:39
Astrology Source (1992)(Multicom)(US)[!].zip	False	71.0 MiB	29-Jan-2023 01:39
Atlas of U.S. Presidents (1992)(Applied Optical Media Corporation)(US).zip	False	30.6 MiB	29-Jan-2023 01:39
Better Homes and Gardens - Healthy Cooking - CD Cookbook (1992)(Multicom)(US)[!].zip	False	155.7 MiB	29-Jan-2023 01:39
Compton's Multimedia Encyclopedia VIS Edition - 1992 Edition v1.10VIS (1992)(Compton's NewMedia)(US).zip	False	332.9 MiB	29-Jan-2023 01:39
Fitness Partner - For Men and Women v1.0 (1993)(Computer Directions)(US)[PC-VIS].zip	False	32.5 MiB	29-Jan-2023 01:39
Great Lives Series - Interactive Biographies of American Heroes Vol. 1 (1992)(JLR)(US)[!].zip	False	112.6 MiB	29-Jan-2023 01:40
Learn To Play Guitar (1993)(Parallax Publishing)(US)[!].zip	False	426.4 MiB	29-Jan-2023 01:40
Meeting of Minds Series, The - Interactive Games of History, Art, Music, and Ideas Vol. 1 (1992)(JLR)(US)[!].zip	False	72.3 MiB	29-Jan-2023 01:40
New Basics Electronic Cookbook, The (1992)(Xiphias)(US)[!].zip	False	116.8 MiB	29-Jan-2023 01:40
Survey of Western Art, A - The Electronic Library of Art (1992)(Ebook)(US)[!].zip	False	109.2 MiB	29-Jan-2023 01:40
Time Almanac 1992 (1992)(Compact Publishing)(US)(Disc 1 of 2)[PC].zip	False	373.0 MiB	29-Jan-2023 01:40
Time Almanac 1992 (1992)(Compact Publishing)(US)(Disc 2 of 2)[VIS].zip	False	212.8 MiB	29-Jan-2023 01:41
Time Table of History - Arts and Entertainment - 1993 Edition (1992)(Xiphias)(US)[!].zip	False	207.1 MiB	29-Jan-2023 01:41
Time Table of History - Business, Politics & Media - 1993 Edition (1992)(Xiphias)(US).zip	False	154.3 MiB	29-Jan-2023 01:41
Time Table of History - Science and Innovation - 1993 Edition (1992)(Xiphias)(US).zip	False	154.9 MiB	29-Jan-2023 01:41
Vision Multimedia Bible - For the Entire Family (1992)(Candlelight Publishing)(US).zip	False	113.2 MiB	29-Jan-2023 01:41
World Vista (1992)(Applied Optical Media Corporation)(US).zip	False	174.1 MiB	29-Jan-2023 01:41
