name	is_dir	size	date
STart Micro - No. 01 (1992-11)(FC Press)(FR).zip	False	22.6 MiB	21-Jul-2025 22:24
STart Micro - No. 02 (1992-12)(FC Press)(FR).zip	False	24.7 MiB	21-Jul-2025 22:24
STart Micro - No. 03 (1993-01)(FC Press)(FR).zip	False	25.1 MiB	21-Jul-2025 22:24
STart Micro - No. 04 (1993-02)(FC Press)(FR).zip	False	25.7 MiB	21-Jul-2025 22:25
STart Micro - No. 05 (1993-03)(FC Press)(FR).zip	False	26.2 MiB	21-Jul-2025 22:25
STart Micro - No. 06 (1993-04)(FC Press)(FR).zip	False	24.8 MiB	21-Jul-2025 22:25
STart Micro - No. 07 (1993-05)(FC Press)(FR).zip	False	25.1 MiB	21-Jul-2025 22:26
STart Micro - No. 08 (1993-06)(FC Press)(FR).zip	False	24.4 MiB	21-Jul-2025 22:26
STart Micro - No. 09 (1993-08)(FC Press)(FR).zip	False	31.4 MiB	21-Jul-2025 22:26
STart Micro - No. 10 (1993-09)(FC Press)(FR).zip	False	23.0 MiB	21-Jul-2025 22:26
STart Micro - No. 11 (1993-11)(FC Press)(FR).zip	False	23.2 MiB	21-Jul-2025 22:26
STart Micro - No. 12 (1993-12)(FC Press)(FR).zip	False	18.7 MiB	21-Jul-2025 22:27
STart Micro - No. 13 (1994-01)(FC Press)(FR).zip	False	18.2 MiB	21-Jul-2025 22:27
STart Micro - No. 14 (1994-02)(FC Press)(FR).zip	False	20.4 MiB	21-Jul-2025 22:27
STart Micro - No. 15 (1994-03)(FC Press)(FR).zip	False	20.7 MiB	21-Jul-2025 22:27
STart Micro - No. 16 (1994-04)(FC Press)(FR).zip	False	21.4 MiB	21-Jul-2025 22:27
STart Micro - No. 17 (1994-05)(FC Press)(FR).zip	False	20.0 MiB	21-Jul-2025 22:28
STart Micro - No. 18 (1994-06)(FC Press)(FR).zip	False	16.2 MiB	21-Jul-2025 22:28
STart Micro - No. 19 (1994-08)(FC Press)(FR).zip	False	25.2 MiB	21-Jul-2025 22:28
STart Micro - No. 20 (1994-09)(FC Press)(FR).zip	False	18.0 MiB	21-Jul-2025 22:28
STart Micro - No. 21 (1994-10)(FC Press)(FR).zip	False	20.4 MiB	21-Jul-2025 22:28
STart Micro - No. 22 (1994-11)(FC Press)(FR).zip	False	16.9 MiB	21-Jul-2025 22:28
STart Micro - No. 23 (1994-12)(FC Press)(FR).zip	False	17.6 MiB	21-Jul-2025 22:29
STart Micro - No. 24 (1995-01)(FC Press)(FR).zip	False	20.2 MiB	21-Jul-2025 22:29
STart Micro - No. 25 (1995-02)(FC Press)(FR).zip	False	18.4 MiB	21-Jul-2025 22:29
STart Micro - No. 26 (1995-03)(FC Press)(FR).zip	False	19.9 MiB	21-Jul-2025 22:29
STart Micro - No. 27 (1995-04)(FC Press)(FR).zip	False	19.8 MiB	21-Jul-2025 22:29
STart Micro - No. 28 (1995-05)(FC Press)(FR).zip	False	20.5 MiB	21-Jul-2025 22:30
STart Micro - No. 29 (1995-06)(FC Press)(FR).zip	False	21.3 MiB	21-Jul-2025 22:30
STart Micro - No. 30 (1995-08)(FC Press)(FR).zip	False	36.9 MiB	21-Jul-2025 22:30
STart Micro - No. 31 (1995-09)(FC Press)(FR).zip	False	22.7 MiB	21-Jul-2025 22:30
STart Micro - No. 32 (1995-10)(FC Press)(FR).zip	False	22.4 MiB	21-Jul-2025 22:30
STart Micro - No. HS 01 (1994)(FC Press)(FR).zip	False	8.3 MiB	21-Jul-2025 22:30
