name	is_dir	size	date
MICRO-80 - Issue 01 (1979-12)(MICRO-80)(AU).zip	False	609.5 KiB	18-Feb-2025 12:46
MICRO-80 - Issue 02 (1980-01)(MICRO-80)(AU).zip	False	850.4 KiB	18-Feb-2025 12:46
MICRO-80 - Issue 03 (1980-02)(MICRO-80)(AU).zip	False	1.2 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 04 (1980-03)(MICRO-80)(AU).zip	False	20.5 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 05 (1980-04)(MICRO-80)(AU).zip	False	7.0 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 06 (1980-05)(MICRO-80)(AU).zip	False	21.3 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 07 (1980-06)(MICRO-80)(AU).zip	False	19.2 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 08 (1980-07)(MICRO-80)(AU).zip	False	18.3 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 09 (1980-08)(MICRO-80)(AU).zip	False	7.0 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 10 (1980-09)(MICRO-80)(AU).zip	False	20.3 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 11 (1980-10)(MICRO-80)(AU).zip	False	18.0 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 12 (1980-11)(MICRO-80)(AU).zip	False	5.1 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 13 (1980-12)(MICRO-80)(AU).zip	False	19.8 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 14 (1981-01)(MICRO-80)(AU).zip	False	4.7 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 15 (1981-02)(MICRO-80)(AU).zip	False	4.6 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 16 (1981-03)(MICRO-80)(AU).zip	False	4.7 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 17 (1981-04)(MICRO-80)(AU).zip	False	6.4 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 18 (1981-05)(MICRO-80)(AU).zip	False	5.9 MiB	18-Feb-2025 12:46
MICRO-80 - Issue 18 (1981-05)(MICRO-80)(AU)[a].zip	False	2.7 MiB	18-Feb-2025 12:46
