name	is_dir	size	date
OS-9 International - Issue 93-1 (1993-03)(Balmer, Marc)(CH)(en-de).zip	False	3.4 MiB	18-Feb-2025 12:46
OS-9 International - Issue 94-1 (1994-06)(Balmer, Marc)(CH)(en).zip	False	2.8 MiB	18-Feb-2025 12:46
OS-9 International - Issue 94-2 (1994-08)(European Forum For OS-9)(CH)(en).zip	False	2.5 MiB	18-Feb-2025 12:46
OS-9 International - Issue 94-3 (1994-11)(European Forum For OS-9)(CH)(en).zip	False	3.2 MiB	18-Feb-2025 12:46
OS-9 International - Nr. 1 (1992-06)(Balmer, Marc)(CH)(de).zip	False	2.3 MiB	18-Feb-2025 12:46
OS-9 International - Vol. 4 Issue 1 (1995-01)(European Forum For OS-9)(CH)(en).zip	False	3.2 MiB	18-Feb-2025 12:46
OS-9 International - Vol. 4 Issue 2 (1995-05)(European Forum For OS-9)(CH)(en).zip	False	3.3 MiB	18-Feb-2025 12:46
OS-9 International - Vol. 4 Issue 3 (1995-09)(European Forum For OS-9)(CH)(en).zip	False	3.3 MiB	18-Feb-2025 12:46
OS-9 International - Vol. 5 Issue 1 (1996-01)(European Forum For OS-9)(CH)(en).zip	False	3.4 MiB	18-Feb-2025 12:46
OS-9 International - Vol. 5 Issue 2 (1996-08)(European Forum For OS-9)(CH)(en).zip	False	3.5 MiB	18-Feb-2025 12:46
