name	is_dir	size	date
100 Yen - The Japanese Arcade Experience (2012)(Strata Studios).zip	False	823.3 MiB	18-Feb-2025 12:52
Chasing Ghosts Beyond the Arcade (2006)(Men at Work Pictures).zip	False	693.0 MiB	18-Feb-2025 12:52
Chasing Ghosts Beyond the Arcade (2006)(Men at Work Pictures)[a].zip	False	277.7 MiB	18-Feb-2025 12:52
Computer Fraud - Computer Hacking (1983)(Thames TV)(GB).zip	False	49.3 MiB	18-Feb-2025 12:52
Console Wars (2020)(CBS Studios)(US).zip	False	1.7 GiB	18-Feb-2025 12:52
Dead Rising 2 MasterCut (2010)(Capcom).zip	False	508.7 MiB	18-Feb-2025 12:52
FPS - First Person Shooter (2023)(Fandamental)(US).zip	False	14.7 GiB	28-Jul-2025 13:03
Funspot - A Small Documentary on the Worlds Largest Video Game Arcade (2016)(Plaster of Paris).zip	False	402.9 MiB	18-Feb-2025 12:52
Game Changers - Inside the Video Game Wars (2021)(A&E Networks).zip	False	1.4 GiB	18-Feb-2025 12:52
Game On! The Unauthorized History of Video Games (2008)(CNBC)(US).zip	False	148.0 MiB	18-Feb-2025 12:52
Game Over - Gender, Race & Violence In Video Games (2000)(Media Education Foundation)(US).zip	False	490.8 MiB	18-Feb-2025 12:52
Get Lamp (2010)(Scott, Jason).zip	False	691.9 MiB	18-Feb-2025 12:52
Hackers - Wizards of the Electronic Age (1985)(Fabco).zip	False	82.5 MiB	18-Feb-2025 12:52
Hackers Wanted (2008)(Trigger Street Productions).zip	False	239.4 MiB	18-Feb-2025 12:52
High Score (2009)(Macattack Films).zip	False	696.2 MiB	18-Feb-2025 12:52
History of Final Fantasy, The (2007)(Square Enix).zip	False	270.5 MiB	18-Feb-2025 12:52
How Hackers Changed the World (2013)(BBC)(GB).zip	False	181.6 MiB	18-Feb-2025 12:52
How To Beat Home Video Games - Vol. 1 The Best Games (1982)(Vestron)(US).zip	False	550.5 MiB	18-Feb-2025 12:52
How To Beat Home Video Games - Vol. 2 The Hot New Games (1982)(Vestron)(US).zip	False	539.5 MiB	18-Feb-2025 12:52
How To Beat Home Video Games - Vol. 3 Arcade Quality for The Home (1982)(Vestron)(US).zip	False	537.2 MiB	18-Feb-2025 12:52
Indie Games the Movie (2012)(BlinkWorks Media).zip	False	1.3 GiB	18-Feb-2025 12:52
Infocom The Documentary (2010)(Scott, Jason).zip	False	202.7 MiB	18-Feb-2025 12:52
Japan History of Shooting Game (2006)(Game One)(JP).zip	False	116.2 MiB	18-Feb-2025 12:52
King of Kong, The - A Fistful of Quarters (2007)(Picturehouse)(US).zip	False	692.6 MiB	18-Feb-2025 12:52
King of Kong, The - A Fistful of Quarters (2007)(Picturehouse)(US)[a].zip	False	993.5 MiB	18-Feb-2025 12:52
Level Up Documentary (2011)(Purple Mouse Productions).zip	False	70.3 MiB	18-Feb-2025 12:52
Playing To Win - Inside The Video Game Industry (2008)(CNBC)(US).zip	False	345.7 MiB	18-Feb-2025 12:52
Secret History Of Hacking, The (2008)(Channel 4)(GB).zip	False	132.8 MiB	18-Feb-2025 12:52
Special When Lit (2009)(Steam Motion & Sound).zip	False	860.3 MiB	18-Feb-2025 12:53
Story of Computer Games, The (2003)(Discovery).zip	False	261.0 MiB	18-Feb-2025 12:53
Terminal Madness (1980)(WMTV Madison).zip	False	57.0 MiB	18-Feb-2025 12:53
Tetris From Russia With Love (2004)(BBC).zip	False	698.9 MiB	18-Feb-2025 12:53
Thumb Candy (2000)(Talkback)(GB).zip	False	134.6 MiB	18-Feb-2025 12:53
Tilt - The Battle to Save Pinball (2007)(The Future of Pinball LLC).zip	False	677.6 MiB	18-Feb-2025 12:53
Triumph of the Nerds - The Rise of Accidental Empires (1996)(Ambrose Video)(US).zip	False	487.5 MiB	18-Feb-2025 12:53
Triumph of the Nerds - The Rise of Accidental Empires (1996)(Ambrose Video)(US)[a].zip	False	888.7 MiB	18-Feb-2025 12:53
Video Game Invasion - The History of a Global Obsession (2004)(Game Show Network).zip	False	309.7 MiB	18-Feb-2025 12:53
Video Game Invasion - The History of a Global Obsession (2004)(Game Show Network)[a].zip	False	568.8 MiB	18-Feb-2025 12:53
Video Game Revolution (2004)(KTCS Television).zip	False	337.7 MiB	18-Feb-2025 12:53
Video Game Revolution, The (2004)(PBS).zip	False	1.2 GiB	18-Feb-2025 12:53
Video Game Tricks, Codes and Strategies Vol.1 (1989)(EG Video).zip	False	352.6 MiB	18-Feb-2025 12:53
Video Game Tricks, Codes and Strategies Vol.2 (1989)(EG Video).zip	False	784.5 MiB	18-Feb-2025 12:53
Video Game Tricks, Codes and Strategies Vol.2 (1989)(EG Video)[a].zip	False	234.5 MiB	18-Feb-2025 12:53
Video Game Tricks, Codes and Strategies Vol.3 (1989)(EG Video).zip	False	188.0 MiB	18-Feb-2025 12:53
Video Game Tricks, Codes and Strategies Vol.3 (1989)(EG Video)[a].zip	False	218.4 MiB	18-Feb-2025 12:53
Video Games The Movie (2014)(Media Juice Studios)(US).zip	False	1.4 GiB	18-Feb-2025 12:53
What Video Game (1990)(Telegames)(GB).zip	False	637.2 MiB	18-Feb-2025 12:53
What Video Game (1990)(Telegames)(US)[a].zip	False	699.6 MiB	18-Feb-2025 12:53
