name	is_dir	size	date
3DChart! (1984)(Spectral Graphics Software)(US)(Disk 1 of 2).zip	False	98.3 KiB	18-Feb-2025 06:18
3DChart! (1984)(Spectral Graphics Software)(US)(Disk 2 of 2)(Data Disk).zip	False	64.1 KiB	18-Feb-2025 06:18
816-Paint v3.1 (1987)(Baudville)(IIE)[128K][5.25''].zip	False	127.2 KiB	18-Feb-2025 06:18
Address Book, The (1980)(MUSE Software)(II+)(US).zip	False	110.2 KiB	18-Feb-2025 06:18
Address Book, The (1980)(MUSE Software)(II+)(US)[a].zip	False	110.8 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side A)(Program Disk)[64K].zip	False	121.5 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side A)(Program Disk)[a][64K].zip	False	125.6 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side A)(Program)[64K].zip	False	127.3 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side B)(Program Disk)[64K].zip	False	73.2 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side B)(Program Disk)[a][64K].zip	False	76.7 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 1 of 2 Side B)(Program)[64K].zip	False	79.4 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side A)(Data Disk)[64K].zip	False	65.2 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side A)(Data Disk)[a][64K].zip	False	70.0 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side A)(Data)[64K].zip	False	72.6 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side B)(Data Disk)[64K].zip	False	64.9 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side B)(Data Disk)[a][64K].zip	False	69.2 KiB	18-Feb-2025 06:18
Adventure Construction Set (1985)(Electronic Arts)(II+)(Disk 2 of 2 Side B)(Data)[64K].zip	False	71.1 KiB	18-Feb-2025 06:18
Adventure Creator (1984)(Spinnaker Software)(II+).zip	False	43.9 KiB	18-Feb-2025 06:18
Adventure Creator (1984)(Spinnaker Software)(II+)[a].zip	False	41.5 KiB	18-Feb-2025 06:18
Adventure Programming Kit v10.84 (1984)(Salty Software)(Side A).zip	False	130.6 KiB	18-Feb-2025 06:18
Adventure Programming Kit v10.84 (1984)(Salty Software)(Side B).zip	False	125.3 KiB	18-Feb-2025 06:18
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 01 of 10)(Boot).zip	False	91.2 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 02 of 10)(Crop).zip	False	61.2 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 03 of 10)(Pork).zip	False	46.3 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 04 of 10)(Real Estate - Finance).zip	False	76.3 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 05 of 10)(Livestock).zip	False	117.6 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 06 of 10)(Market Charting I).zip	False	35.1 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 07 of 10)(Market Charting II).zip	False	64.5 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 08 of 10)(CFS - Cashflow).zip	False	67.6 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 09 of 10)(Amortization Tables).zip	False	90.6 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 09 of 10)(Amortization Tables)[a].zip	False	90.9 KiB	04-May-2025 05:48
Agricultural Software Package, The (1981)(Wisconsin Microware)(IIE)(US)(Disk 10 of 10)(Data).zip	False	41.2 KiB	04-May-2025 05:48
Alpha Plot (1982)(Beagle Bros)(II+)[48K].zip	False	115.6 KiB	18-Feb-2025 06:18
Alphachart! (1983)(Spectral Graphics Software)(US)(Disk 1 of 2).zip	False	118.2 KiB	18-Feb-2025 06:18
Alphachart! (1983)(Spectral Graphics Software)(US)(Disk 1 of 2)[a].zip	False	117.7 KiB	18-Feb-2025 06:18
Alphachart! (1983)(Spectral Graphics Software)(US)(Disk 2 of 2).zip	False	47.2 KiB	18-Feb-2025 06:18
Alphachart! (1983)(Spectral Graphics Software)(US)(Disk 2 of 2)[a].zip	False	48.6 KiB	18-Feb-2025 06:18
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 3 Side A)(Boot)[128K].zip	False	121.0 KiB	12-Jul-2025 00:57
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 3 Side B)(Program)[128K].zip	False	121.4 KiB	12-Jul-2025 00:57
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 3 Side A)(Animation Library)[128K].zip	False	60.1 KiB	12-Jul-2025 00:57
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 3 Side B)(Background Library)[128K].zip	False	116.8 KiB	12-Jul-2025 00:57
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 3 of 3 Side A)(Demonstration Show Disk)[128K].zip	False	90.0 KiB	12-Jul-2025 00:57
Animate (1986)(BrÃ¸derbund)(IIE)(US)(Disk 3 of 3 Side B)(Programmer's Aids)[128K].zip	False	58.9 KiB	12-Jul-2025 00:57
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 2 Side A)(Program Disk)[128K].zip	False	120.8 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 2 Side A)(Program Disk)[a2][128K].zip	False	123.1 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 2 Side A)(Program Disk)[a][128K].zip	False	122.6 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 2 Side B)(Program Disk)[128K].zip	False	123.5 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 1 of 2 Side B)(Program Disk)[a][128K].zip	False	124.4 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 2 Side A)(Animation Library)[128K].zip	False	60.4 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 2 Side A)(Animation Library)[a][128K].zip	False	58.1 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 2 Side B)(Background Library)[128K].zip	False	121.9 KiB	18-Feb-2025 06:18
Animate (1986-09-05)(BrÃ¸derbund)(IIE)(US)(Disk 2 of 2 Side B)(Background Library)[a][128K].zip	False	113.0 KiB	18-Feb-2025 06:18
Appilot Edu-Disk (1978)(MUSE Software)(II)(US)[32K][II only][req Integer BASIC].zip	False	67.7 KiB	18-Feb-2025 06:18
Apple II Disk II Test Routines (1983-10-30)(Swanson, William).zip	False	27.4 KiB	18-Feb-2025 06:18
Apple II Emulation Disk (19xx)(-).zip	False	32.0 KiB	18-Feb-2025 06:18
