name	is_dir	size	date
Print Shop Graphics Disk (19xx)(Big Red Computer Club)(US)[no boot].zip	False	25.7 KiB	12-Jul-2025 00:57
Volume C41 - NASA Press Kit - Space Shuttle Atlantis - STS-34 Galileo Jupiter Mission (1989)(Big Red Computer Club)(US)(PD).zip	False	60.6 KiB	18-Feb-2025 06:19
Volume C42 - Solving Word Problems - A Math Tutorial (19xx)(Big Red Computer Club)(US)(PD).zip	False	25.3 KiB	18-Feb-2025 06:19
Volume H30 - Applefest Borders & Fonts (19xx)(Big Red Computer Club)(US).zip	False	26.9 KiB	18-Feb-2025 06:19
Volume H31 - D&O Print Shop Graphics (19xx)(Big Red Computer Club)(US).zip	False	32.7 KiB	12-Jul-2025 00:57
Volume H34 - Block and Victorian Initials (19xx)(Big Red Computer Club)(US).zip	False	29.9 KiB	12-Jul-2025 00:57
Volume H36 - Olson Misc. #1 (19xx)(Big Red Computer Club)(US).zip	False	32.6 KiB	12-Jul-2025 00:57
Volume H39 - Gordon's Print Shop Borders (19xx)(Big Red Computer Club)(US)(Side A).zip	False	20.9 KiB	12-Jul-2025 00:57
Volume H39 - Gordon's Print Shop Borders (19xx)(Big Red Computer Club)(US)(Side B).zip	False	5.5 KiB	12-Jul-2025 00:57
Volume H40 - Buck's PS Letters (19xx)(Big Red Computer Club)(US).zip	False	28.9 KiB	12-Jul-2025 00:57
Volume H51 - Print Shop-Newsroom Utilities (19xx)(Big Red Computer Club)(US)(PD).zip	False	37.3 KiB	18-Feb-2025 06:19
Volume H54 - The Painter v2.0 (19xx)(Big Red Computer Club)(US)(PD).zip	False	27.0 KiB	18-Feb-2025 06:19
Volume H58 - DHR Clip Art for Use with Publish-It! (19xx)(Big Red Computer Club)(US)(PD)(Side A).zip	False	45.3 KiB	18-Feb-2025 06:19
Volume H58 - DHR Clip Art for Use with Publish-It! (19xx)(Big Red Computer Club)(US)(PD)(Side B).zip	False	32.8 KiB	18-Feb-2025 06:19
Volume H70 - Fire Organ (1990-04)(Big Red Computer Club)(US)(PD).zip	False	55.9 KiB	18-Feb-2025 06:19
Volume H89 - Print Shop Compatible Fonts (19xx)(Big Red Computer Club)(Side A).zip	False	44.0 KiB	12-Jul-2025 00:57
Volume H89 - Print Shop Compatible Fonts (19xx)(Big Red Computer Club)(Side B).zip	False	27.0 KiB	12-Jul-2025 00:57
Volume K71 - Spelling Tutor - A Shareware Educational Program (19xx)(Big Red Computer Club)(US)(SW).zip	False	28.9 KiB	18-Feb-2025 06:19
Volume R25 - AppleWorks Footnoting TimeOut UltraMacros v0.0.3 (19xx)(Big Red Computer Club)(US)(PD).zip	False	29.1 KiB	18-Feb-2025 06:19
