name	is_dir	size	date
Aaargh! (1988)(Arcadia Software)[f HDD Brutal Deluxe].zip	False	423.3 KiB	18-Feb-2025 07:24
Alien Mind (1988)(PBI Software)(Disk 1 of 3)[cr The F.U.C.K.].zip	False	208.6 KiB	18-Feb-2025 07:24
Alien Mind (1988)(PBI Software)(Disk 2 of 3)[cr The F.U.C.K.].zip	False	151.1 KiB	18-Feb-2025 07:24
Alien Mind (1988)(PBI Software)(Disk 3 of 3)[cr The F.U.C.K.].zip	False	78.9 KiB	18-Feb-2025 07:24
Alien Mind (1988)(PBI Software)[cr The F.U.C.K.][Saves].zip	False	233.1 KiB	18-Feb-2025 07:24
Arkanoid II - Revenge of Doh (1989)(Taito)(US)[cr The F.U.C.K.].zip	False	263.8 KiB	18-Feb-2025 07:24
Bubble Ghost (1988)(Accolade)[cr Brutal Deluxe][f optimize, HD install Brutal Deluxe].zip	False	211.5 KiB	18-Feb-2025 07:24
Captain Blood (1989)(Mindscape)(US)[f ROM 3 Brutal Deluxe].zip	False	396.8 KiB	18-Feb-2025 07:24
Destroyer (1987)(Epyx)(US)[cr Brutal Deluxe].zip	False	261.9 KiB	18-Feb-2025 07:24
Destroyer (1987)(Epyx)(US)[h Brutal Deluxe].zip	False	264.1 KiB	18-Feb-2025 07:24
Destroyer (1987)(Epyx)(US)[h Brutal Deluxe][a old].zip	False	306.8 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 1 of 7).zip	False	458.0 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 2 of 7).zip	False	481.2 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 3 of 7).zip	False	452.8 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 4 of 7).zip	False	489.0 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 5 of 7).zip	False	506.3 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 6 of 7).zip	False	489.6 KiB	18-Feb-2025 07:24
Dragon's Lair (2022-03)(Brutal Deluxe)(FR)(en)(Disk 7 of 7).zip	False	493.8 KiB	18-Feb-2025 07:24
