name	is_dir	size	date
3D Asteroids (1984)(Atari)(NTSC)(proto).zip	False	9.7 KiB	18-Feb-2025 07:26
3D Asteroids (1984)(Atari)(NTSC)(proto)[b].zip	False	9.6 KiB	18-Feb-2025 07:26
Ace Of Aces (1988)(Atari)(NTSC)[a].zip	False	40.2 KiB	18-Feb-2025 07:26
Ace of Aces (1988)(Atari)(NTSC).zip	False	40.2 KiB	18-Feb-2025 07:26
Ace of Aces (1988)(Atari)(PAL).zip	False	40.1 KiB	18-Feb-2025 07:26
Alien Brigade (1990)(Atari)(NTSC).zip	False	85.5 KiB	18-Feb-2025 07:26
Alien Brigade (1990)(Atari)(PAL).zip	False	85.5 KiB	18-Feb-2025 07:26
Asteroids (1987)(Atari)(NTSC).zip	False	9.7 KiB	18-Feb-2025 07:26
Asteroids (1987)(Atari)(NTSC)[a].zip	False	9.7 KiB	18-Feb-2025 07:26
Ballblazer (1987)(Atari)(NTSC).zip	False	17.1 KiB	18-Feb-2025 07:26
Ballblazer (1987)(Atari)(NTSC)[a].zip	False	17.1 KiB	18-Feb-2025 07:26
Ballblazer (1987)(Atari)(PAL).zip	False	17.0 KiB	18-Feb-2025 07:26
Barnyard Blaster (1988)(Atari)(NTSC).zip	False	45.8 KiB	18-Feb-2025 07:26
Barnyard Blaster (1988)(Atari)(NTSC)[b].zip	False	45.8 KiB	18-Feb-2025 07:26
Barnyard Blaster (1988)(Atari)(PAL).zip	False	45.7 KiB	18-Feb-2025 07:26
Baseball (1989)(Absolute Entertainment)(PAL).zip	False	15.8 KiB	18-Feb-2025 07:26
Basketbrawl (1990)(Atari)(NTSC).zip	False	51.5 KiB	18-Feb-2025 07:26
Basketbrawl (1990)(Atari)(PAL).zip	False	51.4 KiB	18-Feb-2025 07:26
Centipede (1987)(Atari)(NTSC).zip	False	10.5 KiB	18-Feb-2025 07:26
Centipede (1987)(Atari)(NTSC)[a].zip	False	10.6 KiB	18-Feb-2025 07:26
Centipede (1987)(Atari)(PAL).zip	False	9.0 KiB	18-Feb-2025 07:26
Choplifter! (1987)(Atari)(NTSC).zip	False	14.2 KiB	18-Feb-2025 07:26
Choplifter! (1987)(Atari)(NTSC)[a].zip	False	14.2 KiB	18-Feb-2025 07:26
Choplifter! (1987)(Atari)(PAL).zip	False	14.2 KiB	18-Feb-2025 07:26
Commando (1989)(Atari)(NTSC).zip	False	68.1 KiB	18-Feb-2025 07:26
Commando (1989)(Atari)(NTSC)[a].zip	False	68.1 KiB	18-Feb-2025 07:26
Commando (1989)(Atari)(PAL).zip	False	68.5 KiB	18-Feb-2025 07:26
Crack'ed (1988)(Atari)(NTSC).zip	False	26.9 KiB	18-Feb-2025 07:26
Crack'ed (1988)(Atari)(PAL).zip	False	26.9 KiB	18-Feb-2025 07:26
