name	is_dir	size	date
20 Tons (1985)(64 Tape Computing)[cr ACS].zip	False	18.1 KiB	18-Feb-2025 09:50
Bone Cruncher (1987)(Superior Software)[cr Sharks][t +2 Sharks].zip	False	32.8 KiB	18-Feb-2025 09:50
Boulder Dash (1984)(First Star)[cr Nova].zip	False	9.9 KiB	18-Feb-2025 09:50
Boulder Dash (1984)(First Star)[cr Nova][a].zip	False	9.9 KiB	18-Feb-2025 09:50
Boulder Dash (1984)(First Star)[h Nova].zip	False	9.9 KiB	18-Feb-2025 09:50
Boulder Dash 01 (1984)(First Star)[h Mr. M].zip	False	10.0 KiB	18-Feb-2025 09:50
Boulder Dash 03 (1986)(First Star)[h ACE].zip	False	15.7 KiB	18-Feb-2025 09:50
Boulder Dash 03 (1986)(First Star)[h RAD].zip	False	11.3 KiB	18-Feb-2025 09:50
Boulder Dash 06 (1986)(First Star)(PD).zip	False	12.8 KiB	18-Feb-2025 09:50
Boulder Dash 08 (1986)(First Star)[h Zombie].zip	False	14.3 KiB	18-Feb-2025 09:50
Boulder Dash II - Rockford's Revenge (1985)(First Star)[cr Swat].zip	False	17.0 KiB	18-Feb-2025 09:50
Boulder Dash II - Rockford's Revenge (1985)(First Star)[h Megabyte].zip	False	15.8 KiB	18-Feb-2025 09:50
Boulder Dash II - Rockford's Revenge (1985)(First Star)[h Megabyte][T64].zip	False	15.9 KiB	18-Feb-2025 09:50
Boulder Dash II - Rockford's Revenge (1985)(First Star)[h Megabyte][a].zip	False	15.8 KiB	18-Feb-2025 09:50
Boulder Dash Professional (1985)(First Star).zip	False	9.8 KiB	18-Feb-2025 09:50
Boulder Dash Professional (1985)(First Star)[a].zip	False	9.8 KiB	18-Feb-2025 09:50
BoulderBrain (1987)(Bond, Alan).zip	False	16.3 KiB	18-Feb-2025 09:50
Brutalo Boulder Dash (19xx)(Sub7).zip	False	14.2 KiB	18-Feb-2025 09:50
Crazy Dream 03 (19xx)(Liepa, Peter & Roth, Marek).zip	False	19.7 KiB	18-Feb-2025 09:50
Diamond Jones (1992)(Markt & Technik).zip	False	1.7 KiB	18-Feb-2025 09:50
Emerald Mine (1988)(Kingsoft).zip	False	32.9 KiB	18-Feb-2025 09:50
Emerald Mine 2 (1988)(Kingsoft).zip	False	22.6 KiB	18-Feb-2025 09:50
Emerald Mine 2 (1988)(Kingsoft)[b2].zip	False	29.5 KiB	18-Feb-2025 09:50
Emerald Mine 2 (1988)(Kingsoft)[b].zip	False	29.5 KiB	18-Feb-2025 09:50
Extended Flaschbier (19xx)(Scooter)[cr Breakers].zip	False	23.3 KiB	18-Feb-2025 09:50
Flaschbier (198x)(Wernersoft).zip	False	8.7 KiB	18-Feb-2025 09:50
Flaschbier (198x)(Wernersoft)[cr CAS][t +5 CAS].zip	False	16.7 KiB	18-Feb-2025 09:50
Flaschbier (198x)(Wernersoft)[cr Pirate Software Service].zip	False	11.7 KiB	18-Feb-2025 09:50
Flaschbier 2 (1986)(Wernersoft)[cr Track 12].zip	False	9.9 KiB	18-Feb-2025 09:50
Flaschbier 2 (1986)(Wernersoft)[cr Track 12][a].zip	False	9.9 KiB	18-Feb-2025 09:50
Flaschbier 2 (1986)(Wernersoft)[t +1 DOC].zip	False	10.9 KiB	18-Feb-2025 09:50
Flaschbier 3 (198x)(Wernersoft)[cr Soap][t +1 Soap].zip	False	31.0 KiB	18-Feb-2025 09:50
Fruitmania (1995)(CP Verlag)[cr LXT][t +3 LXT].zip	False	35.7 KiB	18-Feb-2025 09:50
Fruitmania (1995)(CP Verlag)[cr SCS+TRC][t +2 SCS+TRC].zip	False	33.7 KiB	18-Feb-2025 09:50
Gertrud's Game A (19xx)(Gertrud).zip	False	12.4 KiB	18-Feb-2025 09:50
Gertrud's Game B (19xx)(Gertrud).zip	False	12.6 KiB	18-Feb-2025 09:50
Gertrud's Game C (19xx)(Gertrud).zip	False	12.3 KiB	18-Feb-2025 09:50
Gertrud's Game D (19xx)(Gertrud).zip	False	12.0 KiB	18-Feb-2025 09:50
Gertrud's Game E (19xx)(Gertrud).zip	False	11.8 KiB	18-Feb-2025 09:50
Gertrud's Game F (19xx)(Gertrud).zip	False	12.0 KiB	18-Feb-2025 09:50
Gertrud's Game G (19xx)(Gertrud).zip	False	12.6 KiB	18-Feb-2025 09:50
Gertrud's Game H (19xx)(Gertrud).zip	False	12.1 KiB	18-Feb-2025 09:50
Icicle Works (1985)(Commodore).zip	False	21.6 KiB	18-Feb-2025 09:50
Icicle Works (1985)(Commodore)[a].zip	False	28.7 KiB	18-Feb-2025 09:50
Icicle Works (1985)(Commodore)[cr Willcox].zip	False	15.4 KiB	18-Feb-2025 09:50
Kinderdan Part II (19xx)(Liepa, Peter & Tavernier, Daniel).zip	False	11.4 KiB	18-Feb-2025 09:50
Knibble Eat 1 (19xx)(Prof. Knibble).zip	False	12.2 KiB	18-Feb-2025 09:50
Knibble Eat 3 (19xx)(Prof. Knibble).zip	False	12.4 KiB	18-Feb-2025 09:50
Lush World 1 (1995)(Liepa, Peter & Shambis, Lukas).zip	False	20.5 KiB	18-Feb-2025 09:50
Lush World 2 (1995)(Liepa, Peter & Shambis, Lukas).zip	False	19.5 KiB	18-Feb-2025 09:50
Lush World 3 (1995)(Liepa, Peter & Shambis, Lukas).zip	False	19.6 KiB	18-Feb-2025 09:50
Lush World 4 (1995)(Liepa, Peter & Shambis, Lukas).zip	False	19.1 KiB	18-Feb-2025 09:50
Megabould (1989)(-)[cr Triad].zip	False	6.6 KiB	18-Feb-2025 09:50
Mini-Dash (1986)(Zzap! 64).zip	False	8.7 KiB	18-Feb-2025 09:50
No One's 16 Game Boulderdash (1983)(No One).zip	False	28.8 KiB	18-Feb-2025 09:50
No One's 16 Game Boulderdash (1983)(No One)[a].zip	False	28.9 KiB	18-Feb-2025 09:50
No One's 16 Game Boulderdash (1983)(No One)[h No One].zip	False	28.9 KiB	18-Feb-2025 09:50
Nordsee Power 1 (19xx)(Liepa, Peter & Roth, Rolf).zip	False	12.4 KiB	18-Feb-2025 09:50
PP Digger (1993)(Markt & Technik)[cr DTC][t +2].zip	False	11.6 KiB	18-Feb-2025 09:50
PP Digger (1993)(Markt & Technik)[cr DTC][t +2][a].zip	False	11.6 KiB	18-Feb-2025 09:50
PP Digger (1993)(Markt & Technik)[cr Triad][t +1 Triad].zip	False	7.1 KiB	18-Feb-2025 09:50
Pebbles (1986)(-)[cr CMM].zip	False	22.9 KiB	18-Feb-2025 09:50
Pick Up All (1991)(Markt & Technik).zip	False	1.9 KiB	18-Feb-2025 09:50
Pit, The (1983)(HesWare)[cr CMM].zip	False	6.0 KiB	18-Feb-2025 09:50
Pit, The (1996)(Loadstar)[cr M8].zip	False	19.4 KiB	18-Feb-2025 09:50
Quango (1984)(Interceptor).zip	False	12.2 KiB	18-Feb-2025 09:50
Quango (1984)(Interceptor)[cr CMM].zip	False	20.7 KiB	18-Feb-2025 09:50
Red 200 (demo) (1996)(Samar Productions)[cr SCS+TRC - ONS][t +7 ONS].zip	False	46.0 KiB	18-Feb-2025 09:50
Robbo (1993)(LK Avalon)(pl)[cr GL].zip	False	31.6 KiB	18-Feb-2025 09:50
Rock Fall (1985)(Your Computer-Business Press International).zip	False	10.0 KiB	18-Feb-2025 09:50
Rockfall (1987)(Reflectice Designs)[cr TZ].zip	False	20.2 KiB	18-Feb-2025 09:50
Rockfall II (1987)(Reflectice Designs)[cr TZ].zip	False	19.5 KiB	18-Feb-2025 09:50
Rockford - The Arcade Game (1988)(Mastertronic).zip	False	27.5 KiB	18-Feb-2025 09:50
Rockford - The Arcade Game (1988)(Mastertronic)[a].zip	False	27.5 KiB	18-Feb-2025 09:50
Rockford - The Arcade Game (1988)(Mastertronic)[cr FSN][t +2 FSN].zip	False	26.9 KiB	18-Feb-2025 09:50
Rockford - The Arcade Game (1988)(Mastertronic)[cr FSN][t +2 FSN][a].zip	False	26.9 KiB	18-Feb-2025 09:50
Rockford - The Arcade Game (1988)(Mastertronic)[cr Triad][t ++ Triad].zip	False	23.2 KiB	18-Feb-2025 09:50
Rocki Rockano in Lolliland (1995)(Liepa, Peter & Langer, Alexander).zip	False	25.4 KiB	18-Feb-2025 09:50
Rockman (1988)(Icon Design)(it).zip	False	39.5 KiB	18-Feb-2025 09:50
Rockman (19xx)(SIPE)(it).zip	False	16.1 KiB	18-Feb-2025 09:50
Run to Goldy (1988)(Schulz, Ulrich)[cr TRX].zip	False	17.4 KiB	18-Feb-2025 09:50
Soapbone (1988)(Edicola-Super Game 2000)(it).zip	False	34.8 KiB	18-Feb-2025 09:50
Super Boulder Dash (1986)(Electronic Arts).zip	False	14.0 KiB	18-Feb-2025 09:50
Wabbit (1989)(Commodore Disc).zip	False	4.9 KiB	18-Feb-2025 09:50
Werner (1987)(-).zip	False	27.0 KiB	18-Feb-2025 09:50
Werner III (19xx)(Heiko Firestone).zip	False	7.4 KiB	18-Feb-2025 09:50
