name	is_dir	size	date
Air Combat Classics (1993)(LucasArts)(Disk 1 of 3).zip	False	1.3 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 1 of 3)[a2].zip	False	1.3 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 1 of 3)[a].zip	False	1.3 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 2 of 3).zip	False	1.4 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 2 of 3)[a2].zip	False	1.4 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 2 of 3)[a].zip	False	1.4 MiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 3 of 3).zip	False	466.4 KiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 3 of 3)[a2].zip	False	466.4 KiB	18-Feb-2025 10:15
Air Combat Classics (1993)(LucasArts)(Disk 3 of 3)[a].zip	False	466.3 KiB	18-Feb-2025 10:15
Apogee Software Shareware Library (1991)(Apogee)(Disk 1 of 4)(SW).zip	False	1.2 MiB	18-Feb-2025 10:15
Apogee Software Shareware Library (1991)(Apogee)(Disk 2 of 4)(SW).zip	False	1.2 MiB	18-Feb-2025 10:15
Apogee Software Shareware Library (1991)(Apogee)(Disk 3 of 4)(SW).zip	False	823.0 KiB	18-Feb-2025 10:15
Apogee Software Shareware Library (1991)(Apogee)(Disk 4 of 4)(SW).zip	False	1.0 MiB	18-Feb-2025 10:15
Arcade Blockbusters v1.0 (1991)(Hi Tech Expressions)(Disk 1 of 2).zip	False	342.1 KiB	18-Feb-2025 10:15
Arcade Blockbusters v1.0 (1991)(Hi Tech Expressions)(Disk 2 of 2).zip	False	322.1 KiB	18-Feb-2025 10:15
Arcade Games (1988)(Keypunch Software).zip	False	163.2 KiB	18-Feb-2025 10:15
Arcade Games (1988)(Keypunch Software)[a].zip	False	163.2 KiB	18-Feb-2025 10:15
