name	is_dir	size	date
4 in 1 (19xx)(-).zip	False	3.4 KiB	18-Feb-2025 11:34
ALS-8 Disassembler (19xx)(Van Dyke, Don).zip	False	6.2 KiB	18-Feb-2025 11:34
ALS-8 I-O Dirvers (19xx)(-).zip	False	642 B	18-Feb-2025 11:34
ALS-8 Serial Driver (19xx)(-).zip	False	716 B	18-Feb-2025 11:34
ASCII (1977)(Processor Technology).zip	False	1.1 KiB	18-Feb-2025 11:34
Aexam (19xx)(-).zip	False	983 B	18-Feb-2025 11:34
Clear Memory (1979)(Hopkins, Ralph).zip	False	1.4 KiB	18-Feb-2025 11:34
Game of Deflection, The (1978)(Recupero, Andrew).zip	False	4.5 KiB	18-Feb-2025 11:34
Memory Test Routine (19xx)(-).zip	False	1.2 KiB	18-Feb-2025 11:34
Newett Awl's Sol-20 (19xx)(-).zip	False	1.1 KiB	18-Feb-2025 11:34
OP80 Paper Tape Reader (19xx)(-).zip	False	1.2 KiB	18-Feb-2025 11:34
Object Code Search (1979)(Hopkins, Ralph).zip	False	2.4 KiB	18-Feb-2025 11:34
Paper Tape Reader (19xx)(-).zip	False	1.8 KiB	18-Feb-2025 11:34
Repair ALS8 Files (19xx)(Van Dyke, Don).zip	False	990 B	18-Feb-2025 11:34
