name	is_dir	size	date
1942, 1943 (19xx)(Go!)[h BrokImSoft '02].zip	False	50.0 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h AmoNik, Welcome Corporation '00][a][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	24.1 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h AmoNik, Welcome Corporation '00][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	27.5 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h Delta][a][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	29.9 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h Delta][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	97.4 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h FFC][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	125.7 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h FireSoft Group '95][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	99.3 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h Flash][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	104.5 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h Nikitin P.][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	115.7 KiB	18-Feb-2025 11:37
4 Soccer Simulators (1988)(Code Masters Gold)(48K-128K)[h PHD][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	91.8 KiB	18-Feb-2025 11:37
4 Soccer Simulators - 11-a-Side Soccer (1988)(Code Masters Gold)(48K-128K)[h Drozd][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	21.3 KiB	18-Feb-2025 11:37
4 Soccer Simulators - 11-a-Side Soccer (1988)(Code Masters Gold)[h Flying Skull][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	29.6 KiB	18-Feb-2025 11:37
4 Soccer Simulators - Street Soccer (1988)(Code Masters Gold)(48K-128K)[h Kamikaze][aka Four Soccer Simulators][aka Pro Soccer Simulator].zip	False	23.3 KiB	18-Feb-2025 11:37
AER Games Pack - Disk 1 (19xx)(AER).zip	False	194.2 KiB	18-Feb-2025 11:37
AER Games Pack - Disk 2 (19xx)(AER).zip	False	103.7 KiB	18-Feb-2025 11:37
Adventures of Bouncing Bob, The 1, 2, 3 (2015)(Doug Bagnall)[h Tiboh '16].zip	False	37.1 KiB	18-Feb-2025 11:37
Agent X 1, 2 (19xx)(Mastertronic)[h Debris '15].zip	False	90.1 KiB	18-Feb-2025 11:37
Airwolf 1, 2 (19xx)(Hit Pak)[h SG '07].zip	False	58.5 KiB	18-Feb-2025 11:37
Al's Double Bill (2013-07)(Grussu, Alessandro)(128K)(IT)(m6)[h Tiboh '15].zip	False	59.3 KiB	18-Feb-2025 11:37
Al's Double Bill (2013-07)(Grussu, Alessandro)(48K-128K)(IT)(M6).zip	False	378.6 KiB	18-Feb-2025 11:37
Arc of Yesod + Nodes of Yesod (1986)(Odin - Thor)(48K-128K)[h BrokImSoft].zip	False	126.8 KiB	18-Feb-2025 11:37
Archon 1, 2 (1989)(Electronic Arts)[h Dr.Dash, Next Stop Studio].zip	False	53.0 KiB	18-Feb-2025 11:37
Arkanoid 1, 2 (19xx)(Imagine)[h SG-Team '10].zip	False	69.7 KiB	18-Feb-2025 11:37
Atomix 1, 2 (19xx)(Scorpion)[h BrokImSoft].zip	False	42.1 KiB	18-Feb-2025 11:37
Ball Breaker 1, 2 (19xx)(CRL Group)(RU)[h BrokImSoft].zip	False	41.8 KiB	18-Feb-2025 11:37
Ball Breaker 1, 2 (19xx)(CRL Group)(RU)[h Nicolas Rodionov, Kirill Panyushkin '90][tr ru].zip	False	45.6 KiB	18-Feb-2025 11:37
Ball Breaker 1, 2 (19xx)(CRL Group)(RU)[h Nicolas Rodionov, Kirill Panyushkin, Merlin '99][tr ru].zip	False	43.6 KiB	18-Feb-2025 11:37
Ball Breaker 1, 2 (19xx)(CRL Group)(RU)[h Nicolas Rodionov, Kirill Panyushkin, Phantom Ltd][tr ru].zip	False	38.8 KiB	18-Feb-2025 11:37
Bar'er 1, 2, 3, 4 (1988)(C.C.B.)(RU)[h Inforcom '90].zip	False	23.5 KiB	18-Feb-2025 11:37
Barbarian 1, 2 (19xx)(Palace)[h Slider '13].zip	False	212.6 KiB	18-Feb-2025 11:37
Barbarian 1.1, 1.2, 2, 3 (19xx)(Icon - Melbourne House - Palace)[h MKHG].zip	False	228.8 KiB	18-Feb-2025 11:37
Batman 1, 2.1, 2.2, 3 (19xx)(Ocean)[h Slider '17][t].zip	False	191.7 KiB	18-Feb-2025 11:37
Batman 1, 2.1, 2.2, 3 (19xx)(Ocean)[h Smash][t].zip	False	180.5 KiB	18-Feb-2025 11:37
Batman 2.1, 2.2 (1988)(Ocean)[h Merlin '99][t].zip	False	64.8 KiB	18-Feb-2025 11:37
Beach-Head 1, 2 (19xx)(US Gold)[h Tiboh '15].zip	False	60.7 KiB	18-Feb-2025 11:37
Benny Bunny 1-7 (1985)(T. Sherwood)[h Baxter '15].zip	False	25.1 KiB	18-Feb-2025 11:37
Best Basic Game 2017 (2017)(Red Limited).zip	False	122.9 KiB	18-Feb-2025 11:37
Blinky's Collection (19xx)(Zeppelin)[h SG '12].zip	False	66.6 KiB	18-Feb-2025 11:37
Bomb Jack 1, 2 (19xx)(Elite)[h BrokImSoft].zip	False	56.4 KiB	18-Feb-2025 11:37
Bomb Jack 1, 2 (19xx)(Elite)[h Delta].zip	False	66.5 KiB	18-Feb-2025 11:37
Bomb Jack 1, 2 (19xx)(Elite)[h Nikola].zip	False	55.2 KiB	18-Feb-2025 11:37
Boulder Dash 1, 2, 3, 4, 5, 6 (19xx)(First Star)[h Battletech Inc. '95].zip	False	64.1 KiB	18-Feb-2025 11:37
Boulder Dash 1, 2, 3, 4, 5, 6 (19xx)(First Star)[h T.A.W., S.A.W '94].zip	False	45.1 KiB	18-Feb-2025 11:37
Boulder Dash 1, 2, 3, 4, 5, 6, 7 (19xx)(First Star)[h Kristall '96].zip	False	57.9 KiB	18-Feb-2025 11:37
Boulder Dash 1, 2, 3, 4, 5, 6, 7 (19xx)(First Star)[h Omega].zip	False	53.0 KiB	18-Feb-2025 11:37
Boulder Dash 1-4 (19xx)(First Star)[h JeRrS & Tiboh '13].zip	False	34.2 KiB	18-Feb-2025 11:37
Boulder Dash 2 Classic Collection (2009)(Triumph Game Labs)(128K)(RU)(en)[h SG '12].zip	False	77.9 KiB	18-Feb-2025 11:37
Boulder Dash 5,6,7 (1992)(Vlasov)[h JeRrS & Tiboh '14].zip	False	25.7 KiB	18-Feb-2025 11:37
Boulder Dash Classic Collection (2008)(Triumph Game Labs)(48K-128K)(RU)(en).zip	False	193.7 KiB	18-Feb-2025 11:37
