name	is_dir	size	date
8048 EPROM Programmer v1.2 (19xx)(Udo Kuhn)(DE)[CMD].zip	False	1.9 KiB	04-May-2025 05:53
ACNAP v1.3 (1983)(BV Engineering)[CMD].zip	False	20.1 KiB	18-Feb-2025 11:44
AGCap Automatic PDrive Recognition v3.2 (19xx)(-)[CMD].zip	False	1.1 KiB	18-Feb-2025 11:44
ALDS Assembly Programming Helper v3.0.2 (1983)(Tandy)[CMD].zip	False	35.7 KiB	18-Feb-2025 11:44
ANSI-Term (19xx)(-)[CMD].zip	False	26.1 KiB	18-Feb-2025 11:44
APD- Automatic PDRIVE Utility (1981)(Hal Brown)[CMD].zip	False	4.6 KiB	18-Feb-2025 11:44
APD- Automatic PDRIVE Utility (1981)(Hal Brown)[a][CMD].zip	False	1.4 KiB	18-Feb-2025 11:44
ARC and ZIP View (19xx)(David Huelsmann)[CMD].zip	False	3.8 KiB	18-Feb-2025 11:44
ARC to CMD v1.2 (1990)(Richard VanHouten)[CMD].zip	False	4.5 KiB	18-Feb-2025 11:44
ARChive Lister v3.1 (1990)(Richard VanHouten)[CMD].zip	False	1.3 KiB	18-Feb-2025 11:44
Addition Program (19xx)(-)[CMD].zip	False	376 B	18-Feb-2025 11:44
Alcor C (1983)(Alcor Systems)[CMD][Disk 1 of 2].zip	False	87.9 KiB	18-Feb-2025 11:44
Alcor C (1983)(Alcor Systems)[CMD][Disk 2 of 2].zip	False	62.2 KiB	18-Feb-2025 11:44
AllWrite! v1.00 (1984)(ProSoft-The Tesler Software Corporation)[CMD].zip	False	48.3 KiB	18-Feb-2025 11:44
Archive Utilities v0.00 (1983)(Kim Watt)[CMD].zip	False	3.0 KiB	18-Feb-2025 11:44
Archive3 ACH v1.0.1 (1986)(Chuck Harper)[CMD].zip	False	24.4 KiB	18-Feb-2025 11:44
Archive3 ACH v1.0.1 (1986)(Chuck Harper)[a][CMD].zip	False	30.0 KiB	18-Feb-2025 11:44
Assembler Test Program- 'Hi There' (19xx)(-)[CMD].zip	False	691 B	18-Feb-2025 11:44
Assembler Test Programs (19xx)(-)[CMD].zip	False	1.2 KiB	18-Feb-2025 11:44
Assign A Specific Directory Slot to a Filename (19xx)(-)[CMD].zip	False	7.3 KiB	18-Feb-2025 11:44
Astrology (19xx)(Radio Shack)[CMD].zip	False	16.9 KiB	18-Feb-2025 11:44
Automatic Directory (1983)(Carl Cranstone)[CMD].zip	False	7.1 KiB	18-Feb-2025 11:44
BASCOM Compiler v1.00 (1983)(Microsoft)[CMD].zip	False	102.5 KiB	18-Feb-2025 11:44
BASCOM Compiler v1.00 (1983)(Microsoft)[a2][CMD].zip	False	105.8 KiB	18-Feb-2025 11:44
BASCOM Compiler v1.00 (1983)(Microsoft)[a][CMD].zip	False	97.1 KiB	18-Feb-2025 11:44
BASIC Program Lister v6.5 (19xx)(JP McKouen)[CMD].zip	False	3.2 KiB	18-Feb-2025 11:44
Backup and Restore v1.3 (1983)(Breeze Computing)[CMD].zip	False	2.0 KiB	18-Feb-2025 11:44
BasList (1983)(S K Pramanik)[CMD].zip	False	11.1 KiB	18-Feb-2025 11:44
Basic File Converter I-III to ASCII v1.0 (1984)(Purves Computer System Software)[CMD].zip	False	1.4 KiB	18-Feb-2025 11:44
Beep Routine (19xx)(Bruce Barrow)[CMD].zip	False	400 B	18-Feb-2025 11:44
Bi-Tech Computer Systems Menu (19xx)(Tom Van De Stowe)[CMD].zip	False	22.0 KiB	18-Feb-2025 11:44
Binary Clock (19xx)(Jack Decker)[CMD].zip	False	1.4 KiB	18-Feb-2025 11:44
Binary Search (1986)(Jim King)[CMD].zip	False	3.2 KiB	18-Feb-2025 11:44
Blank Screen (1984)(Carl Ford)[CMD].zip	False	6.1 KiB	18-Feb-2025 11:44
Blinking Cursor (19xx)(-)[CMD].zip	False	2.7 KiB	18-Feb-2025 11:44
Boot-80 (19xx)(Kim Watt)[CMD].zip	False	386 B	18-Feb-2025 11:44
Border (19xx)(-)[CMD].zip	False	872 B	18-Feb-2025 11:44
Bridge It (19xx)(-)[CMD].zip	False	4.3 KiB	18-Feb-2025 11:44
Bugout Pro v3.0 (1980)(Software Plantation)[CMD].zip	False	9.2 KiB	18-Feb-2025 11:44
Busy (19xx)(Richard VanHouten)[CMD].zip	False	4.1 KiB	18-Feb-2025 11:44
Busy Background Messages (19xx)(Robert Eden)[CMD].zip	False	840 B	18-Feb-2025 11:44
CO-DIR (19xx)(Chris Herzog & Joe Lynn)[CMD].zip	False	15.2 KiB	18-Feb-2025 11:44
CO-DIR for DOS PLUS v2.1 (1983)(Hunt K Brand)[CMD].zip	False	5.1 KiB	18-Feb-2025 11:44
CP-M Copy Program (19xx)(-)[CMD].zip	False	1.6 KiB	18-Feb-2025 11:44
CPY (1988)(Gary A Campbell)[CMD].zip	False	6.5 KiB	18-Feb-2025 11:44
Calendar Date and Time for MM58274 chip (19xx)(Dr J Szajman)[CMD].zip	False	5.2 KiB	18-Feb-2025 11:44
Captain Cloner's Diskette Formatter (1985)(Captain Cloner)[CMD].zip	False	5.6 KiB	18-Feb-2025 11:44
Carriage Returns Out (1987)(Rod Stevenson)[CMD].zip	False	372 B	18-Feb-2025 11:44
CharGen Character Generator (19xx)(Compuvest)[CMD].zip	False	22.0 KiB	18-Feb-2025 11:44
Chat Module (19xx)(-)[CMD].zip	False	2.6 KiB	18-Feb-2025 11:44
Cleaner-80 Drive Cleaner (1986)(J Russel Jones)[CMD].zip	False	9.4 KiB	18-Feb-2025 11:44
Clock 80 v1.1 (1983)(Robert Doerr)[CMD].zip	False	1.0 KiB	18-Feb-2025 11:44
Clock 80 v1.2 (1983)(Robert Doerr)[CMD].zip	False	7.2 KiB	18-Feb-2025 11:44
Clone+ Backup System (19xx)(-)[CMD].zip	False	2.6 KiB	18-Feb-2025 11:44
