name	is_dir	size	date
BASIC Interpreter v1.00 (2022-10-02)(Belfield, Dean)(zlib).zip	False	11.5 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.01 (2022-10-21)(Belfield, Dean)(zlib).zip	False	11.5 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.02 (2022-11-22)(Belfield, Dean)(zlib).zip	False	11.5 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.03 (2023-01-13)(Belfield, Dean)(zlib).zip	False	11.8 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.04 (2023-04-19)(Belfield, Dean)(zlib).zip	False	12.2 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.04 RC1 (2023-03-19)(Belfield, Dean)(zlib).zip	False	12.0 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.04 RC2 (2023-03-26)(Belfield, Dean)(zlib).zip	False	12.1 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.04 RC3 (2023-04-02)(Belfield, Dean)(zlib).zip	False	12.2 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.04 RC4 (2023-04-16)(Belfield, Dean)(zlib).zip	False	12.2 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.05 (2023-07-10)(Belfield, Dean)(zlib).zip	False	12.2 KiB	18-Feb-2025 11:45
BASIC Interpreter v1.06 (2023-09-28)(Belfield, Dean)(zlib).zip	False	12.3 KiB	18-Feb-2025 11:45
eZ80 MOS v1.03 (2023-04-19)(Belfield, Dean)(zlib).zip	False	22.0 KiB	18-Feb-2025 11:45
eZ80 MOS v1.03 RC3 (2023-04-02)(Belfield, Dean)(zlib).zip	False	22.0 KiB	18-Feb-2025 11:45
eZ80 MOS v1.03 RC4 (2023-04-16)(Belfield, Dean)(zlib).zip	False	22.0 KiB	18-Feb-2025 11:45
