name	is_dir	size	date
Arche de Noe, L - L'Aventure des Animaux (200x)(V-Tech)(FR)[sn 80-099105].zip	False	3.4 MiB	18-Feb-2025 11:46
Baby Einstein - Un monde de decouvertes (200x)(V-Tech)(FR)[sn 80-099045].zip	False	3.4 MiB	18-Feb-2025 11:46
Baby Einstein - World of Discoveries (200x)(V-Tech)(US)[a][sn 80-099040].zip	False	3.2 MiB	18-Feb-2025 11:46
Baby Einstein - World of Discoveries (200x)(V-Tech)(US)[sn 80-099040].zip	False	3.0 MiB	18-Feb-2025 11:46
Backyardigans, The - Big Backyard Adventure (2008)(V-Tech)(US)[sn 80-099240].zip	False	4.6 MiB	18-Feb-2025 11:46
Barney - Let's Go to a Party (2007)(V-Tech)(US)[sn 80-099120].zip	False	3.2 MiB	18-Feb-2025 11:46
Care Bears - Play Day (2008)(V-Tech)(US)[sn 80-099220].zip	False	3.5 MiB	18-Feb-2025 11:46
Day on the Farm, A (200x)(V-Tech)(US)[sn 80-099060].zip	False	3.3 MiB	18-Feb-2025 11:46
Decouvertes de Mickey et ses Amis, Les (200x)(V-Tech)(FR)[sn 80-099165].zip	False	3.8 MiB	18-Feb-2025 11:46
Dierenhuis (200x)(V-Tech)(NL)[sn 80-099002].zip	False	4.0 MiB	18-Feb-2025 11:46
Discovery with Baby Mickey & Friends (200x)(V-Tech)(US)[sn 80-099160].zip	False	4.0 MiB	18-Feb-2025 11:46
En Ville avec l'Ourson Patoune (200x)(V-Tech)(FR)[sn 80-099185].zip	False	3.8 MiB	18-Feb-2025 11:46
Jour a La Ferme, Un (200x)(V-Tech)(FR)[sn 80-099065].zip	False	3.5 MiB	18-Feb-2025 11:46
Maison Des Animaux, La (200x)(V-Tech)(FR)[sn 80-099005].zip	False	4.0 MiB	18-Feb-2025 11:46
Mein erster Bauernhof (200x)(V-Tech)(DE)[sn 80-099064].zip	False	3.8 MiB	18-Feb-2025 11:46
Meine kleinen Tierfreunde (200x)(V-Tech)(DE)[sn 80-099004].zip	False	3.6 MiB	18-Feb-2025 11:46
Mother Goose (200x)(V-Tech)(US)[sn 80-099200].zip	False	4.1 MiB	18-Feb-2025 11:46
Nalle Puhs Aeventyr i Sjumilaskogen (2007)(V-Tech)(SE)[sn 80-099034].zip	False	3.8 MiB	18-Feb-2025 11:46
Noah's Ark - Animal Adventures (200x)(V-Tech)(US)[sn 80-099100].zip	False	3.3 MiB	18-Feb-2025 11:46
Pooh's Hundred Acre Wood Adventure (2007)(V-Tech)(US)[sn 80-099020].zip	False	3.9 MiB	18-Feb-2025 11:46
Teletubbies - C'est l'Heure des Teletubbies (2007)(V-Tech)(FR)[sn 80-099145].zip	False	3.5 MiB	18-Feb-2025 11:46
Teletubbies - Time for Teletubbies (2007)(V-Tech)(US)[sn 80-099140].zip	False	3.2 MiB	18-Feb-2025 11:46
