name	is_dir	size	date
AutoMenu v4.7 (1990)(Agee Enterprises, Inc) [IMA][720k].zip	False	85.2 KiB	26-Sep-2025 18:43
AutoMenu v4.7 (1990)(Agee Enterprises, Inc) [kfx][720k].zip	False	13.5 MiB	26-Sep-2025 18:43
Calendar Creator Plus v3.02 (1990)(Power Up! Software Corporation) [IMA][360k].zip	False	175.4 KiB	17-Aug-2025 09:29
Calendar Creator Plus v3.02 (1990)(Power Up! Software Corporation) [IMA][720k].zip	False	178.4 KiB	17-Aug-2025 09:29
Calendar Creator Plus v3.02 (1990)(Power Up! Software Corporation) [kfx][360k].zip	False	5.1 MiB	17-Aug-2025 09:30
Calendar Creator Plus v3.02 (1990)(Power Up! Software Corporation) [kfx][720k].zip	False	8.9 MiB	17-Aug-2025 09:30
Designer (1990)(Pacific Tri Micro, Inc.) [IMA][360k].zip	False	243.8 KiB	26-Sep-2025 18:43
Designer (1990)(Pacific Tri Micro, Inc.) [kfx][360k].zip	False	5.2 MiB	26-Sep-2025 18:43
My Advanced MailList v1.5.0 (1990)(MySoftware Co., inc.) [IMA][360k][!].zip	False	106.3 KiB	26-Sep-2025 18:43
My Advanced MailList v1.5.0 (1990)(MySoftware Co., inc.) [IMA][720k][!].zip	False	107.8 KiB	26-Sep-2025 18:43
My Advanced MailList v1.5.0 (1990)(MySoftware Co., inc.) [kfx][360k][!].zip	False	4.4 MiB	26-Sep-2025 18:43
My Advanced MailList v1.5.0 (1990)(MySoftware Co., inc.) [kfx][720k][!].zip	False	7.7 MiB	26-Sep-2025 18:43
