name	is_dir	size	date
1000 Miles (1984)(Anonymous) [Simulation, Racing - Driving, Sports].zip	False	52.2 KiB	26-Sep-2025 18:46
10Rogue (1984)(Codebusters, Inc.) [Adventure, Role-Playing (RPG)].zip	False	41.9 KiB	26-Sep-2025 18:46
3-Demon v488170 [SW] (1984)(PC Research Inc.) [Action].zip	False	23.0 KiB	26-Sep-2025 18:46
3-Demon v488170 [SW][o1] (1984)(PC Research Inc.) [Action].zip	False	23.2 KiB	26-Sep-2025 18:46
3-Demon v488170 [SW][o2] (1984)(PC Research Inc.) [Action].zip	False	23.0 KiB	26-Sep-2025 18:46
3-Demon v488170 [SW][o3] (1984)(PC Research Inc.) [Action].zip	False	23.2 KiB	26-Sep-2025 18:46
3-K Trivia (1984)(IBM) [Strategy].img.zip	False	89.8 KiB	26-Sep-2025 18:46
3-K Trivia [a1] (1984)(IBM) [Strategy].img.zip	False	90.9 KiB	26-Sep-2025 18:46
Aardvark Attack (1984)(COMPUTE! Publications, Inc.) [Action].zip	False	48.1 KiB	26-Sep-2025 18:46
Adventure 1 (1984)(PC-SIG) [Adventure, Interactive Fiction].zip	False	55.9 KiB	26-Sep-2025 18:46
Agent U.S.A. [DC] (1984)(Scholastic Wizware) [Adventure, Educational, Strategy].zip	False	49.2 KiB	26-Sep-2025 18:46
Ahorcado v6.89 (Es) (1984)(Norland Software) [Strategy].zip	False	47.8 KiB	26-Sep-2025 18:46
Air Traffic Controller [SW] (1984)(Steve Estvanik) [Simulation].zip	False	29.9 KiB	26-Sep-2025 18:46
Allendale County Schools Educational Programs (PCjr) (1984)(Gary West) [Educational, Compilation].zip	False	138.3 KiB	26-Sep-2025 18:46
Alley Cat [DC] (1984)(IBM) [Action].zip	False	31.2 KiB	26-Sep-2025 18:46
Alley Cat [tr No] (1984)(IBM) [Action].zip	False	30.3 KiB	26-Sep-2025 18:46
Alley Cat [tr Ru][h1] (1984)(IBM) [Action].zip	False	29.7 KiB	26-Sep-2025 18:46
Alley Cat [tr Ru][h2] (1984)(IBM) [Action].zip	False	291.7 KiB	26-Sep-2025 18:46
Amazon (1984)(Trillium Corp.) [Adventure, Interactive Fiction].zip	False	271.3 KiB	26-Sep-2025 18:46
Amazon [b1] (1984)(Trillium Corp.) [Adventure, Interactive Fiction].zip	False	271.2 KiB	26-Sep-2025 18:46
Ancient Art of War, The (1984)(BrÃ¸derbund Software, Inc.) [Strategy].zip	False	146.8 KiB	26-Sep-2025 18:46
Archon- The Light and the Dark [DC] (1984)(Electronic Arts, Inc.) [Action, Strategy].zip	False	22.3 KiB	26-Sep-2025 18:46
Archon- The Light and the Dark [DC][h1] (1984)(Electronic Arts, Inc.) [Action, Strategy].zip	False	22.3 KiB	26-Sep-2025 18:46
Archon- The Light and the Dark [DC][h2] (1984)(Electronic Arts, Inc.) [Action, Strategy].zip	False	22.4 KiB	26-Sep-2025 18:46
Archon- The Light and the Dark [DC][h3] (1984)(Electronic Arts, Inc.) [Action, Strategy].zip	False	22.3 KiB	26-Sep-2025 18:46
Archon- The Light and the Dark [DC][h4] (1984)(Electronic Arts, Inc.) [Action, Strategy].zip	False	22.3 KiB	26-Sep-2025 18:46
ArithMATIC- Addition (1984)(Compu-Teach) [Educational].zip	False	43.5 KiB	26-Sep-2025 18:46
ArithMATIC- Counting (1984)(Compu-Teach) [Educational].zip	False	40.2 KiB	26-Sep-2025 18:46
BC's Quest for Tires [DC] (1984)(Sierra On-Line, Inc.) [Action].zip	False	19.9 KiB	26-Sep-2025 18:46
Backgammon (1984)(IBM) [Strategy, Board].zip	False	141.8 KiB	26-Sep-2025 18:46
