name	is_dir	size	date
3-D Helicopter Simulator v1.00 (1987)(Sierra On-Line, Inc.) [kfx][360k][cp].zip	False	6.3 MiB	02-Jan-2025 18:04
3-D Helicopter Simulator v1.10 (1987)(Sierra On-Line, Inc.) [kfx][360k][cp][!].zip	False	7.0 MiB	02-Jan-2025 18:04
Abadia del CrÃ­men, La (Es) (1987)(Opera Soft S.A.) [IMA][320k][cr].zip	False	163.9 KiB	19-Aug-2025 12:25
Advanced Math Shop (1987)(Scholastic, Inc.) [kfx][720k].zip	False	8.4 MiB	02-Jan-2025 18:04
Alphabet Circus (1987)(DLM, Inc.) [MFM][360k][cp].zip	False	139.7 KiB	19-Aug-2025 12:25
Alphabet Circus (1987)(DLM, Inc.) [kfx][360k][cp].zip	False	4.2 MiB	19-Aug-2025 12:25
Ancient Art of War at Sea, The (1987)(BrÃ¸derbund Software, Inc.) [kfx][360k][cp][!].zip	False	7.5 MiB	02-Jan-2025 18:04
Arcticfox (1987)(Electronic Arts, Inc.) [kfx][720k][cp][!].zip	False	8.1 MiB	02-Jan-2025 18:04
Arcticfox r870506 (1987)(Electronic Arts, Inc.) [kfx][360k][cp][!].zip	False	6.7 MiB	19-Aug-2025 12:25
Arcticfox r870814 (1987)(Electronic Arts, Inc.) [kfx][360k][cp][!].zip	False	4.2 MiB	02-Jan-2025 18:04
Arkanoid & Super Tennis (1987)(Imagine Software) [kfx][360k][cp][!].zip	False	23.0 MiB	29-Sep-2025 13:08
Beyond Zork- The Coconut of Quendor r49 (1987)(Infocom, Inc.) [IMA][360k][!].zip	False	192.0 KiB	02-Jan-2025 18:04
Beyond Zork- The Coconut of Quendor r49 (1987)(Infocom, Inc.) [kfx][360k][!].zip	False	8.7 MiB	02-Jan-2025 18:04
Beyond Zork- The Coconut of Quendor r57 (1987)(Infocom, Inc.) [IMA][360k][!].zip	False	192.8 KiB	02-Jan-2025 18:04
Beyond Zork- The Coconut of Quendor r57 (1987)(Infocom, Inc.) [kfx][360k][!].zip	False	7.2 MiB	02-Jan-2025 18:04
Bionic Commando (1987)(Capcom U.S.A., Ltd.) [kfx][360k][cp].zip	False	14.6 MiB	29-Sep-2025 13:08
Bivouac (Fr) (1987)(Infogrames Multimedia SA) [kfx][360k][cp][!].zip	False	7.0 MiB	29-Sep-2025 13:08
Black Cauldron, The v2.00 (1987)(Sierra On-Line, Inc.) [kfx][360k][cp][!].zip	False	8.0 MiB	19-Aug-2025 12:26
Border Zone r9 (1987)(Infocom, Inc.) [IMA][360k][!].zip	False	137.5 KiB	02-Jan-2025 18:04
Border Zone r9 (1987)(Infocom, Inc.) [kfx][360k][!].zip	False	7.0 MiB	02-Jan-2025 18:04
Bureaucracy r116 (1987)(Infocom, Inc.) [IMA][360k][!].zip	False	186.6 KiB	02-Jan-2025 18:04
Bureaucracy r116 (1987)(Infocom, Inc.) [kfx][360k][!].zip	False	7.5 MiB	02-Jan-2025 18:04
Bureaucracy r86 (1987)(Infocom, Inc.) [IMA][360k][!].zip	False	186.6 KiB	29-Sep-2025 13:08
Bureaucracy r86 (1987)(Infocom, Inc.) [kfx][360k][!].zip	False	3.1 MiB	29-Sep-2025 13:08
Championship Backgammon (1987)(Spinnaker Software Corporation) [IMA][360k][!].zip	False	84.9 KiB	29-Sep-2025 13:08
Championship Backgammon (1987)(Spinnaker Software Corporation) [kfx][360k][!].zip	False	7.1 MiB	29-Sep-2025 13:08
Championship Poker (1987)(Applications Plus, Inc.) [IMA][360k].zip	False	97.5 KiB	19-Aug-2025 12:26
Championship Poker (1987)(Applications Plus, Inc.) [kfx][360k].zip	False	7.5 MiB	20-Aug-2025 05:23
Chessmaster 2000, The v1.07 (1987)(The Software Toolworks, Inc.) [kfx][360k][cp].zip	False	8.5 MiB	02-Jan-2025 18:04
Chessmaster 2000, The v1.08 (1987)(The Software Toolworks, Inc.) [kfx][360k][cp].zip	False	7.2 MiB	02-Jan-2025 18:04
Chiffres et des Lettres, Des (Fr) (1987)(Loriciels) [kfx][360k][cp][!].zip	False	7.1 MiB	19-Aug-2025 12:27
Chuck Yeager's Advanced Flight Simulator v1.0 r870517 (1987)(Electronic Arts, Inc.) [IMA][360k][cr].zip	False	105.3 KiB	02-Jan-2025 18:04
Chuck Yeager's Advanced Flight Simulator v1.0 r870517 (1987)(Electronic Arts, Inc.) [kfx][360k][cp][!].zip	False	6.8 MiB	02-Jan-2025 18:04
Chuck Yeager's Advanced Flight Simulator v1.0 r870625 (1987)(Electronic Arts, Inc.) [IMA][360k][!].zip	False	101.5 KiB	02-Jan-2025 18:04
Chuck Yeager's Advanced Flight Simulator v1.0 r870625 (1987)(Electronic Arts, Inc.) [kfx][360k][!].zip	False	7.3 MiB	02-Jan-2025 18:04
