name	is_dir	size	date
.DB____002.txt	False	2.9 KiB	03-Dec-2004 05:28
.DC____000.txt	False	2.2 KiB	03-Dec-2004 05:28
.DD____002.txt	False	3.0 KiB	03-Dec-2004 05:28
.DE____000.txt	False	2.5 KiB	03-Dec-2004 05:28
.DF____000.txt	False	3.1 KiB	03-Dec-2004 05:28
.EB____002.txt	False	3.0 KiB	03-Dec-2004 05:28
.EC____000.txt	False	2.1 KiB	03-Dec-2004 05:28
.ED____002.txt	False	2.6 KiB	03-Dec-2004 05:28
.EE____000.txt	False	2.5 KiB	03-Dec-2004 05:28
.EF____000.txt	False	3.2 KiB	03-Dec-2004 05:28
ABS____000.txt	False	758 B	03-Dec-2004 05:28
ADJ1___000.txt	False	631 B	03-Dec-2004 05:28
ADJ2___000.txt	False	937 B	03-Dec-2004 05:28
ADJ3___000.txt	False	1.0 KiB	03-Dec-2004 05:28
AINT___000.txt	False	716 B	03-Dec-2004 05:28
ALOG10_001.txt	False	884 B	03-Dec-2004 05:28
ALOG___001.txt	False	873 B	03-Dec-2004 05:28
AMOD___000.txt	False	1.1 KiB	03-Dec-2004 05:28
ATAN2__003.txt	False	1.4 KiB	03-Dec-2004 05:28
ATAN___001.txt	False	680 B	03-Dec-2004 05:28
COS____001.txt	False	854 B	03-Dec-2004 05:28
DABS___000.txt	False	772 B	03-Dec-2004 05:28
DATAN2_003.txt	False	1.4 KiB	03-Dec-2004 05:28
DATAN__000.txt	False	651 B	03-Dec-2004 05:28
DBLE___000.txt	False	590 B	03-Dec-2004 05:28
DCOS___000.txt	False	885 B	03-Dec-2004 05:28
DEXP___000.txt	False	675 B	03-Dec-2004 05:28
DIM____000.txt	False	916 B	03-Dec-2004 05:28
DLOG10_000.txt	False	912 B	03-Dec-2004 05:28
DLOG___002.txt	False	935 B	03-Dec-2004 05:28
DMOD___000.txt	False	1.0 KiB	03-Dec-2004 05:28
DSIGN__002.txt	False	1.2 KiB	03-Dec-2004 05:28
DSIN___000.txt	False	652 B	03-Dec-2004 05:28
DSQRT__002.txt	False	2.1 KiB	03-Dec-2004 05:28
EXP____001.txt	False	688 B	03-Dec-2004 05:28
EXTERN_001.txt	False	1.4 KiB	03-Dec-2004 05:28
FLOAT__000.txt	False	621 B	03-Dec-2004 05:28
IABS___000.txt	False	708 B	03-Dec-2004 05:28
IDIM___000.txt	False	794 B	03-Dec-2004 05:28
IDINT__000.txt	False	671 B	03-Dec-2004 05:28
IFIX___000.txt	False	645 B	03-Dec-2004 05:28
INTRIN_002.txt	False	2.7 KiB	03-Dec-2004 05:28
INT____000.txt	False	667 B	03-Dec-2004 05:28
ISIGN__000.txt	False	924 B	03-Dec-2004 05:28
MOD____000.txt	False	1.0 KiB	03-Dec-2004 05:28
SIGN___002.txt	False	1.2 KiB	03-Dec-2004 05:28
SIN____001.txt	False	665 B	03-Dec-2004 05:28
SNGL___000.txt	False	1.0 KiB	03-Dec-2004 05:28
SQRT___003.txt	False	2.1 KiB	03-Dec-2004 05:28
TANH___001.txt	False	1.5 KiB	03-Dec-2004 05:28
_directory.txt	False	1.2 KiB	03-Dec-2004 05:28
