name	is_dir	size	date
DECIPH_SRC.txt	False	26.0 KiB	03-Dec-2004 05:28
DIS1___SRC.txt	False	291 B	03-Dec-2004 05:28
DIS2___SRC.txt	False	375 B	03-Dec-2004 05:28
DISCAP_SRC.txt	False	27.4 KiB	03-Dec-2004 05:28
DISCAP_SXX.txt	False	13.8 KiB	03-Dec-2004 05:28
FIX____SRC.txt	False	3.9 KiB	03-Dec-2004 05:28
IBM360_SRC.txt	False	12.1 KiB	03-Dec-2004 05:28
LSDMIN_SRC.txt	False	29.8 KiB	03-Dec-2004 05:28
OPTAB__SRC.txt	False	3.7 KiB	03-Dec-2004 05:28
POINTS_SRC.txt	False	965 B	03-Dec-2004 05:28
TEST___SRC.txt	False	286 B	03-Dec-2004 05:28
TTIO___SRC.txt	False	381 B	03-Dec-2004 05:28
TYPE___SRC.txt	False	736 B	03-Dec-2004 05:28
_directory.txt	False	562 B	03-Dec-2004 05:28
