name	is_dir	size	date
DEC-XV-OXDSA-A-U10.dta.bin.gz	False	193.1 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U11.dta.bin.gz	False	200.4 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U12.dta.bin.gz	False	191.8 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U13.dta.bin.gz	False	209.6 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U14.dta.bin.gz	False	130.3 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U15.dta.bin.gz	False	209.2 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U16.dta.bin.gz	False	216.7 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U17.dta.bin.gz	False	225.3 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U18.dta.bin.gz	False	67.7 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U19.dta.bin.gz	False	92.8 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U2.dta.bin.gz	False	200.8 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U20.dta.bin.gz	False	159.3 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U3.dta.bin.gz	False	217.3 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U4.dta.bin.gz	False	198.1 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U5.dta.bin.gz	False	172.0 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U6.dta.bin.gz	False	124.2 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U7.dta.bin.gz	False	219.6 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U8.dta.bin.gz	False	161.8 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-U9.dta.bin.gz	False	110.8 KiB	06-Jul-2003 02:44
DEC-XV-OXDSA-A-UA1.dta.bin.gz	False	221.9 KiB	06-Jul-2003 02:44
DEC-XV-OXRCA-A-UB.dta.bin.gz	False	92.7 KiB	06-Jul-2003 02:44
DEC-XV-OXRFA-A-UC1.dta.bin.gz	False	200.5 KiB	06-Jul-2003 02:44
DEC-XV-OXRFA-A-UC2.dta.bin.gz	False	29.6 KiB	06-Jul-2003 02:45
DEC-XV-OXRKA-A-UC1.dta.bin.gz	False	211.8 KiB	06-Jul-2003 02:44
DEC-XV-OXRKA-A-UC2.dta.bin.gz	False	19.6 KiB	06-Jul-2003 02:44
DEC-XV-OXRPA-A-UC1.dta.bin.gz	False	204.4 KiB	06-Jul-2003 02:44
DEC-XV-OXRPA-A-UC2.dta.bin.gz	False	28.4 KiB	06-Jul-2003 02:44
