name	is_dir	size	date
bendix-site.text.3	False	2.5 KiB	21-Apr-2017 01:30
carnegie-concerns.text.2	False	1.5 KiB	21-Apr-2017 01:30
carnegie-happy.text.2	False	1.9 KiB	21-Apr-2017 01:30
carnegie-sad.text.7	False	1.9 KiB	21-Apr-2017 01:30
chiyoda.text.2	False	4.9 KiB	21-Apr-2017 01:30
chiyoda2.text.2	False	4.5 KiB	21-Apr-2017 01:30
csc-sale.text.5	False	893 B	21-Apr-2017 01:30
davidl.text.2	False	1.7 KiB	21-Apr-2017 01:30
gigamoss-customer-letter.text.3	False	1.4 KiB	21-Apr-2017 01:30
gould-needs.text.6	False	1.2 KiB	21-Apr-2017 01:30
kodak-problem.text.3	False	4.3 KiB	21-Apr-2017 01:30
tell-customers-whats-happening.text.2	False	3.1 KiB	21-Apr-2017 01:30
