name	is_dir	size	date
BSDSUM	False	238 B	18-Mar-1998 16:01
CKSUM	False	334 B	18-Mar-1998 16:01
MD5	False	606 B	18-Mar-1998 16:02
SYSVSUM	False	245 B	18-Mar-1998 16:02
base.tgz	False	8.8 MiB	14-Mar-1998 14:46
comp.tgz	False	6.6 MiB	14-Mar-1998 15:03
etc.tgz	False	53.9 KiB	14-Mar-1998 15:03
games.tgz	False	2.8 MiB	14-Mar-1998 15:10
kern.tgz	False	536.2 KiB	14-Mar-1998 18:55
man.tgz	False	2.4 MiB	14-Mar-1998 15:15
misc.tgz	False	2.1 MiB	14-Mar-1998 15:23
text.tgz	False	984.2 KiB	14-Mar-1998 15:26
xbase.tgz	False	2.4 MiB	18-Mar-1998 07:11
xcomp.tgz	False	1.6 MiB	18-Mar-1998 07:22
xcontrib.tgz	False	178.0 KiB	18-Mar-1998 07:23
xfont.tgz	False	5.7 MiB	18-Mar-1998 08:03
xserver.tgz	False	2.3 MiB	05-Jan-1998 22:00
