name	is_dir	size	date
BSDSUM	False	141 B	06-Aug-1999 07:47
CKSUM	False	196 B	06-Aug-1999 07:48
MD5	False	352 B	06-Aug-1999 07:48
SYSVSUM	False	142 B	06-Aug-1999 07:48
base.tgz	False	10.3 MiB	31-Jul-1999 00:36
comp.tgz	False	8.3 MiB	31-Jul-1999 01:23
etc.tgz	False	56.7 KiB	31-Jul-1999 01:24
games.tgz	False	2.8 MiB	26-Jul-1999 15:23
man.tgz	False	4.1 MiB	31-Jul-1999 01:59
misc.tgz	False	2.2 MiB	31-Jul-1999 02:11
text.tgz	False	1.3 MiB	26-Jul-1999 21:02
xbase.tgz	False	2.5 MiB	22-Apr-1999 20:16
xcomp.tgz	False	1.6 MiB	22-Jul-1999 17:48
xcontrib.tgz	False	179.2 KiB	22-Jul-1999 17:48
xfont.tgz	False	5.7 MiB	22-Jul-1999 17:49
xserver.tgz	False	6.0 MiB	02-Aug-1999 10:42
