name	is_dir	size	date
NEWS-OS_3.2_Format_Disk_NWS-1850_1930_1750	False	1.0 MiB	20-Nov-2020 02:24
NEWS-OS_3.2_Format_Disk_NWS-1850_1930_1750.jpg	False	102.3 KiB	20-Nov-2020 02:24
NEWS-OS_3.2_Format_NWS-841	False	186.9 KiB	20-Nov-2020 02:24
NEWS-OS_3.2_Format_NWS-841.jpg	False	106.4 KiB	20-Nov-2020 02:24
NEWS-OS_3.2_Install_NWS-1850_1930_1750.IMD	False	1.1 MiB	20-Nov-2020 02:23
NEWS-OS_3.2_Install_NWS-1850_1930_1750.jpg	False	123.1 KiB	20-Nov-2020 02:24
NEWS-OS_3.2_Install_NWS841	False	1.2 MiB	20-Nov-2020 02:24
NEWS-OS_3.2_Install_NWS841.jpg	False	105.7 KiB	20-Nov-2020 02:24
NEWS-OS_3.2_Patches.IMD	False	927.5 KiB	20-Nov-2020 02:23
NEWS-OS_3.2_Patches.jpg	False	103.0 KiB	20-Nov-2020 02:24
NEWS-OS_3.3_Format_Disk	False	209.3 KiB	20-Nov-2020 02:24
NEWS-OS_3.3_Format_Disk.jpg	False	95.3 KiB	20-Nov-2020 02:24
NEWS-OS_3.3_Installation_Disk	False	137.5 KiB	20-Nov-2020 02:24
NEWS-OS_3.3_Installation_Disk.jpg	False	97.4 KiB	20-Nov-2020 02:24
NEWS-OS_3.3_Patch_Disk	False	1.3 MiB	20-Nov-2020 02:24
NEWS-OS_3.3_Patch_Disk.jpg	False	94.9 KiB	20-Nov-2020 02:24
NWF-610M_NEWS-OS_Installation_Manual_Rel_3.3_199001.pdf	False	1.9 MiB	20-Nov-2020 02:23
news33t1.jpg	False	126.3 KiB	16-Nov-2020 21:11
news33t1.log	False	987 B	16-Nov-2020 21:11
news33t1.tap	False	26.4 MiB	16-Nov-2020 21:11
news33t2.jpg	False	120.7 KiB	16-Nov-2020 21:11
news33t2.log	False	501 B	16-Nov-2020 21:11
news33t2.tap	False	24.4 MiB	16-Nov-2020 21:11
news33t3.jpg	False	128.0 KiB	16-Nov-2020 21:11
news33t3.log	False	697 B	16-Nov-2020 21:11
news33t3.tap	False	27.4 MiB	16-Nov-2020 21:11
news33t4.jpg	False	126.6 KiB	16-Nov-2020 21:11
news33t4.log	False	1.6 KiB	16-Nov-2020 21:11
news33t4.tap	False	31.5 MiB	16-Nov-2020 21:11
