name	is_dir	size	date
00000	False	1.5 MiB	01-Jul-2004 19:25
00001	False	0 B	01-Jul-2004 19:25
00002	False	76.9 KiB	01-Jul-2004 19:25
00003	False	18.4 KiB	01-Jul-2004 19:25
00004	False	880 B	01-Jul-2004 19:25
00005	False	19.3 KiB	01-Jul-2004 19:25
00006	False	880 B	01-Jul-2004 19:25
00007	False	17.6 KiB	01-Jul-2004 19:25
00008	False	880 B	01-Jul-2004 19:25
00009	False	25.7 KiB	01-Jul-2004 19:25
00010	False	880 B	01-Jul-2004 19:25
00011	False	8.2 KiB	01-Jul-2004 19:25
00012	False	880 B	01-Jul-2004 19:25
00013	False	14.8 KiB	01-Jul-2004 19:25
00014	False	880 B	01-Jul-2004 19:25
00015	False	39.1 KiB	01-Jul-2004 19:25
00016	False	880 B	01-Jul-2004 19:25
00017	False	52.5 KiB	01-Jul-2004 19:25
00018	False	880 B	01-Jul-2004 19:25
00019	False	59.3 KiB	01-Jul-2004 19:25
00020	False	880 B	01-Jul-2004 19:25
00021	False	49.8 KiB	01-Jul-2004 19:25
00022	False	880 B	01-Jul-2004 19:25
00023	False	53.5 KiB	01-Jul-2004 19:25
00024	False	880 B	01-Jul-2004 19:25
00025	False	55.7 KiB	01-Jul-2004 19:25
00026	False	880 B	01-Jul-2004 19:25
00027	False	54.5 KiB	01-Jul-2004 19:25
00028	False	880 B	01-Jul-2004 19:25
00029	False	58.0 KiB	01-Jul-2004 19:25
00030	False	880 B	01-Jul-2004 19:25
00031	False	43.0 KiB	01-Jul-2004 19:25
00032	False	880 B	01-Jul-2004 19:25
00033	False	46.1 KiB	01-Jul-2004 19:25
00034	False	880 B	01-Jul-2004 19:25
00035	False	41.3 KiB	01-Jul-2004 19:25
00036	False	880 B	01-Jul-2004 19:25
00037	False	51.4 KiB	01-Jul-2004 19:25
00038	False	880 B	01-Jul-2004 19:25
00039	False	57.3 KiB	01-Jul-2004 19:25
00040	False	880 B	01-Jul-2004 19:25
00041	False	49.5 KiB	01-Jul-2004 19:25
00042	False	880 B	01-Jul-2004 19:25
00043	False	43.6 KiB	01-Jul-2004 19:25
00044	False	880 B	01-Jul-2004 19:25
00045	False	38.0 KiB	01-Jul-2004 19:25
00046	False	880 B	01-Jul-2004 19:25
00047	False	53.8 KiB	01-Jul-2004 19:25
00048	False	880 B	01-Jul-2004 19:25
00049	False	55.9 KiB	01-Jul-2004 19:25
00050	False	880 B	01-Jul-2004 19:25
00051	False	59.4 KiB	01-Jul-2004 19:25
00052	False	880 B	01-Jul-2004 19:25
00053	False	8.0 KiB	01-Jul-2004 19:25
00054	False	880 B	01-Jul-2004 19:25
00055	False	48.5 KiB	01-Jul-2004 19:25
00056	False	880 B	01-Jul-2004 19:25
00057	False	53.1 KiB	01-Jul-2004 19:25
00058	False	880 B	01-Jul-2004 19:25
00059	False	22.1 KiB	01-Jul-2004 19:25
00060	False	880 B	01-Jul-2004 19:25
00061	False	3.7 KiB	01-Jul-2004 19:25
00062	False	880 B	01-Jul-2004 19:25
00063	False	29.9 KiB	01-Jul-2004 19:25
00064	False	880 B	01-Jul-2004 19:25
00065	False	36.6 KiB	01-Jul-2004 19:25
00066	False	880 B	01-Jul-2004 19:25
