name	is_dir	size	date
4dos600.zip	False	746.6 KiB	07-Mar-2018 19:54
manual.pdf	False	1.6 MiB	07-Mar-2018 19:54
paldisk1.zip	False	647.4 KiB	07-Mar-2018 19:54
paldisk2.zip	False	1.1 MiB	07-Mar-2018 19:54
paldisk3.zip	False	1.0 MiB	07-Mar-2018 19:54
paldisk4.zip	False	1.0 MiB	07-Mar-2018 19:54
paldisk5.zip	False	220.6 KiB	07-Mar-2018 19:54
patch1.zip	False	107.2 KiB	07-Mar-2018 19:54
patch2.zip	False	228.5 KiB	07-Mar-2018 19:54
pkz204g.exe	False	197.8 KiB	07-Mar-2018 19:54
readme.txt	False	6.0 KiB	07-Mar-2018 19:54
