name	is_dir	size	date
CLRTRK.Text	False	1.2 KiB	01-May-2016 18:07
CMD.Text	False	13.1 KiB	01-May-2016 18:07
CRECKSUM.Text	False	2.3 KiB	01-May-2016 18:07
DENIBBLE.Text	False	940 B	01-May-2016 18:07
FORMAT.Text	False	5.7 KiB	01-May-2016 18:07
FR3TO1.Text	False	634 B	01-May-2016 18:07
HIMEM.Text	False	346 B	01-May-2016 18:07
Interface.Text	False	4.4 KiB	01-May-2016 18:07
LOOP.Text	False	6.0 KiB	01-May-2016 18:07
NEWRWADDR.Text	False	3.5 KiB	01-May-2016 18:07
NREAD16.Text	False	3.7 KiB	01-May-2016 18:07
Npwm.Text	False	4.0 KiB	01-May-2016 18:07
PRENIB.Text	False	1.0 KiB	01-May-2016 18:07
READ.TEXT	False	2.2 KiB	01-May-2016 18:07
RECAL.Text	False	3.3 KiB	01-May-2016 18:07
SEEK.Text	False	2.3 KiB	01-May-2016 18:07
SY.Text	False	440 B	01-May-2016 18:07
TABLES.Text	False	4.8 KiB	01-May-2016 18:07
TRKCLASS.Text	False	648 B	01-May-2016 18:07
TTKCLASS.Text	False	648 B	01-May-2016 18:07
VAR.text	False	15.5 KiB	01-May-2016 18:07
VFYCKSUM.Text	False	1.6 KiB	01-May-2016 18:07
WAITROM.Text	False	690 B	01-May-2016 18:07
WRITE.Text	False	715 B	01-May-2016 18:07
WRITE16.Text	False	5.2 KiB	01-May-2016 18:07
