name	is_dir	size	date
01_Introduction_to_the_RECOMP_Technical_Bulletins_Nov59.pdf	False	134.0 KiB	09-May-2010 23:57
02_Program_Description_Format_Mar62.pdf	False	269.9 KiB	09-May-2010 23:57
03_Subroutine_Description_Format_Apr62.pdf	False	201.5 KiB	09-May-2010 23:57
04_Division_in_RECOMP_Dec59.pdf	False	196.2 KiB	09-May-2010 23:57
05_Standard_Flow_Chart_Symbols_For_RECOMP_II_Jan60.pdf	False	144.3 KiB	09-May-2010 23:57
06_Flexowriter_Preparation_of_RECOMP_Tapes_Mar60.pdf	False	133.9 KiB	09-May-2010 23:57
07_Improved_Method_for_Lagrangian_Interpolation_Apr60.pdf	False	83.3 KiB	09-May-2010 23:57
08_Standard_Format_RECOMP_Relocatable_Master_Subroutine_Tapes_Apr60.pdf	False	102.3 KiB	09-May-2010 23:57
09_RECOMP_Optimization_Tables_and_Related_Timing_Considerations_Jun60.pdf	False	431.7 KiB	09-May-2010 23:57
10_Translation_of_FORTRAN_to_SALT_May60.pdf	False	215.5 KiB	09-May-2010 23:57
11_Logic_Wiring_and_Physical_Changes_to_RECOMP_II_Jun60.pdf	False	806.2 KiB	09-May-2010 23:57
12_Paper_Tape_Splicing_Jun60.pdf	False	67.2 KiB	09-May-2010 23:57
14_RECOMP_II_External_Device_Connection_to_Computer_Output_Plug_Aug60.pdf	False	179.2 KiB	09-May-2010 23:57
15_Runge-Kutta_Integration_Oct60.pdf	False	191.2 KiB	09-May-2010 23:57
16_Static_Electricity_In_The_Tape_Cannister_Oct60.pdf	False	41.8 KiB	09-May-2010 23:57
17_Restrictions_On_Routines_Which_Are_To_Be_Relocatable_Oct60.pdf	False	56.3 KiB	09-May-2010 23:57
18_Punch_Tape_Guide_Modification_Feb61.pdf	False	66.3 KiB	09-May-2010 23:58
19_Operation_of_Perry_Canister_May61.pdf	False	66.4 KiB	09-May-2010 23:58
20_Magnetic_Tape_Programming_Guide_Feb65.pdf	False	975.6 KiB	10-May-2010 00:56
20_Magnetic_Tape_Programming_Guide_Jul61.pdf	False	736.4 KiB	10-May-2010 00:56
21_Flexowriter_Offline_Tape_Preparation_of_SALT_Source_Language_and_Data_Jun61.pdf	False	141.5 KiB	09-May-2010 23:58
22.1_Operation_of_Random_Numbers_on_the_RECOMP_Digital_Computer_Feb62.pdf	False	927.9 KiB	10-May-2010 00:56
23_The_use_of_the_RECOMP_II_Floating_Point_Instructions_for_Logical_Operations_Feb62.pdf	False	113.1 KiB	09-May-2010 23:58
24_The_Use_of_the_RECOMP_Plotter_with_the_RECOMP_II_Jul62.pdf	False	457.8 KiB	09-May-2010 23:58
26_Card_Input_and_Output_Operations_for_RECOMP_II_Apr62.pdf	False	200.6 KiB	09-May-2010 23:58
