name	is_dir	size	date
19801101.pdf	False	671.9 KiB	14-Oct-2011 20:42
19810202.pdf	False	755.3 KiB	14-Oct-2011 20:42
19810301.pdf	False	462.8 KiB	14-Oct-2011 20:42
19810313.pdf	False	430.0 KiB	14-Oct-2011 20:42
19810501.pdf	False	701.8 KiB	14-Oct-2011 20:42
19810515.pdf	False	440.0 KiB	14-Oct-2011 20:42
19810801.pdf	False	839.8 KiB	14-Oct-2011 20:42
19810901.pdf	False	572.0 KiB	14-Oct-2011 20:42
19811001.pdf	False	888.0 KiB	14-Oct-2011 20:42
19811101.pdf	False	503.3 KiB	14-Oct-2011 20:42
19820702.pdf	False	666.2 KiB	14-Oct-2011 20:42
19820801.pdf	False	634.9 KiB	14-Oct-2011 20:42
19821001.pdf	False	614.8 KiB	14-Oct-2011 20:42
19830201.pdf	False	1.1 MiB	14-Oct-2011 20:42
19870209.pdf	False	415.0 KiB	14-Oct-2011 20:42
19870525.pdf	False	482.3 KiB	14-Oct-2011 20:42
19870709.pdf	False	444.4 KiB	14-Oct-2011 20:42
19880829_Catalog_Update_3.pdf	False	1.2 MiB	09-May-2018 00:24
