name	is_dir	size	date
CD14_1015_Controller	True	-	14-Jun-2022 17:57
Hunter	True	-	10-May-2016 18:06
Marksman	True	-	03-May-2025 21:48
Model_110_Floppy	True	-	02-Mar-2021 00:40
Model_114	True	-	11-Oct-2018 01:09
Model_140_Floppy	True	-	10-May-2016 18:08
Model_215	True	-	10-May-2016 18:07
Nigel_Mackintosh	True	-	16-Aug-2023 19:38
Trident	True	-	25-Apr-2025 03:12
ads	True	-	10-May-2016 18:15
brochures	True	-	18-May-2016 03:41
10077-901-001-1_CalComp_Model_1144_Disk_Storage_Systems_Operation_197509.pdf	False	11.2 MiB	03-May-2025 21:47
1030_Disk_Storage_Facility_Physical_Planning_Guide_1973.pdf	False	1.2 MiB	25-Apr-2025 03:12
CenturyData_TechnicalNotes_Apr73.pdf	False	7.0 MiB	18-Sep-2006 23:28
