name	is_dir	size	date
001__DUMP.MAP__bw.pdf	False	1.9 MiB	06-Dec-2021 23:52
001__DUMP.MAP__gray.pdf	False	6.7 MiB	06-Dec-2021 23:52
002__DUMPRE.REQ__bw.pdf	False	1.6 MiB	06-Dec-2021 23:52
002__DUMPRE.REQ__gray.pdf	False	3.4 MiB	06-Dec-2021 23:52
003__DUMP.LIS__bw.pdf	False	3.4 MiB	06-Dec-2021 23:52
003__DUMP.LIS__gray.pdf	False	24.2 MiB	06-Dec-2021 23:52
004__DUMPFAOLN.LIS__bw.pdf	False	1.6 MiB	06-Dec-2021 23:52
004__DUMPFAOLN.LIS__gray.pdf	False	4.0 MiB	06-Dec-2021 23:52
005__DUMPFILE.LIS__bw.pdf	False	2.5 MiB	06-Dec-2021 23:52
005__DUMPFILE.LIS__gray.pdf	False	13.7 MiB	06-Dec-2021 23:52
006__DUMPHEADE.LIS__bw.pdf	False	4.6 MiB	06-Dec-2021 23:52
006__DUMPHEADE.LIS__gray.pdf	False	30.7 MiB	06-Dec-2021 23:52
007__DUMPMSG.LIS__bw.pdf	False	1.2 MiB	06-Dec-2021 23:52
007__DUMPMSG.LIS__gray.pdf	False	3.4 MiB	06-Dec-2021 23:52
