name	is_dir	size	date
2020	True	-	27-Feb-2013 17:20
2025	True	-	04-Oct-2020 18:56
2030	True	-	02-May-2022 18:41
2040	True	-	05-Oct-2011 04:06
2050	True	-	26-Jun-2022 22:05
2065	True	-	19-May-2024 01:44
2075	True	-	27-Jun-2022 14:35
2091	True	-	28-Jul-2024 21:48
452400	True	-	01-Nov-2021 19:31
C22-6820-8_System_360_Installation_Manual_-_Physical_Planning.pdf	False	30.9 MiB	05-Dec-2014 18:22
FE_PgmHbk_1967.pdf	False	3.6 MiB	06-Sep-2009 00:37
GC22-6820-12_System_360_Installation_Manual_Physical_Planning.pdf	False	11.9 MiB	06-Sep-2009 00:38
S131-0075-3_CE_Tools_Ref_Aug84.pdf	False	6.2 MiB	06-Sep-2009 00:39
S225-3422-1_FE_MM_-_Motors_Generators_Relays_CB_Test_Instr_Misc_Components_197001.pdf	False	10.7 MiB	23-Apr-2022 18:57
S229-3169-2_360_Operating_System_FE_Handbook_Jul70.pdf	False	9.0 MiB	04-Sep-2014 17:09
S229-3169-3_360_Operating_System_FE_Handbook_Jul71.pdf	False	9.4 MiB	31-May-2012 14:17
SR23-3061-3_Introduction_to_IO_Operations_Oct73.pdf	False	3.2 MiB	06-Sep-2009 00:39
SR23-3112-0_S360_Diag_Ref_Manual_197006.pdf	False	2.0 MiB	10-May-2024 16:37
SY22-2851-1_360FE_Aug70.pdf	False	4.2 MiB	06-Sep-2009 23:11
Y22-2851-0_360_FE_Handbook_General_Section_Aug68.pdf	False	4.6 MiB	06-Sep-2009 23:13
Z22-2851-2_Field_Engr_Handbook_System360_General_Section_3rd_Ed.pdf	False	3.6 MiB	16-Jun-2022 18:41
