name	is_dir	size	date
plm	True	-	21-Aug-2021 00:28
CG27-6949-1_Operators_Guide_For_Display_Consoles_Rel21_Mar72.pdf	False	10.4 MiB	07-Jul-2011 03:18
GC26-3746-1_OS_Data_Management_Services_Guide_Rel_21_Feb72.pdf	False	8.5 MiB	29-Mar-2013 19:35
GC26-3794-0_OS_Data_Management_Macro_Instructions_Rel_21_Feb72.pdf	False	8.2 MiB	29-Mar-2013 19:35
GC28-6514-11_OS_Assembler_Rel_21_Apr76.pdf	False	10.3 MiB	14-Jun-2012 15:11
GC28-6534-3_OS360_Introduction_R21_Jan72.pdf	False	14.1 MiB	06-Sep-2009 01:11
GC28-6534-4_IBM_System_360_Operating_System_Rel_21_Introduction_Nov72.pdf	False	8.6 MiB	02-Jun-2012 03:30
GC28-6534-4_OS_Introduction_Rel_21_Nov72.pdf	False	8.4 MiB	14-Jun-2012 15:11
GC28-6538-9_OS_Linkage_Editor_and_Loader_Release_21_Jan72.pdf	False	15.4 MiB	04-Oct-2011 14:34
GC28-6543-8_OS_Sort_Merge_Program_Release_21_9th_ed_197302.pdf	False	2.7 MiB	21-Aug-2021 00:28
GC28-6543-8_OS_Sort_Merge_Rel_21_Feb73.pdf	False	7.8 MiB	14-Jun-2012 15:11
GC28-6550-10_Data_Management_for_System_Programmers_Rel_21_Mar72.pdf	False	6.6 MiB	14-Jun-2012 15:12
GC28-6554-12_OS_System_Generation_Rel_21_Feb72.pdf	False	36.1 MiB	25-Nov-2017 19:43
GC28-6631-12_Messages_and_Codes_Rel_21_Mar72.pdf	False	44.6 MiB	14-Jun-2012 15:12
GC28-6646-6_Supervisor_Services_and_Macro_Instructions_Rel_21_Mar72.pdf	False	14.6 MiB	14-Jun-2012 15:13
GC28-6670-5_Programmers_Guide_to_Debugging_Rel_21_Mar72.pdf	False	15.0 MiB	14-Jun-2012 15:13
GC28-6680-5_OS_Tape_Labels_Rel_21_Apr73.pdf	False	6.5 MiB	14-Jun-2012 15:13
GC28-6691-3_OS_Operator_Reference_Release_21_Mar72.pdf	False	20.2 MiB	04-Oct-2011 14:35
GC28-6692-2_OS_Operator_Procedures_Release_21_May72.pdf	False	4.2 MiB	04-Oct-2011 14:35
GC28-6704-2_OS_Job_Control_Language_Reference_Rel_21_Mar72.pdf	False	21.0 MiB	15-Jun-2012 00:54
GC28-6708-4_OS_Advanced_Checkpoint_Restart_Rel21_Feb72.pdf	False	5.1 MiB	07-Jul-2011 03:56
GC28-6719-2_Service_Aids_Rel_21_Mar72.pdf	False	13.7 MiB	14-Jun-2012 15:13
GC28-6720-4_MVT_Guide_Release_21_Mar72.pdf	False	12.5 MiB	04-Oct-2011 14:36
GC28-6763-1_OS_TSO_Terminal_Users_Guide_Rel_21_Mar72.pdf	False	4.8 MiB	14-Jun-2012 15:14
